"fold";"method";"metric";"val";"dataset"
1;"Boosted Stumps";"auc";0,963865546218487;"australian"
1;"Boosted Stumps";"acc";0,855072463768116;"australian"
1;"Boosted Stumps";"brier_score";0,0817891992745671;"australian"
2;"Boosted Stumps";"auc";0,952461799660441;"australian"
2;"Boosted Stumps";"acc";0,869565217391304;"australian"
2;"Boosted Stumps";"brier_score";0,0893938451761579;"australian"
3;"Boosted Stumps";"auc";0,956302521008403;"australian"
3;"Boosted Stumps";"acc";0,884057971014493;"australian"
3;"Boosted Stumps";"brier_score";0,0807725210243226;"australian"
4;"Boosted Stumps";"auc";0,9375;"australian"
4;"Boosted Stumps";"acc";0,869565217391304;"australian"
4;"Boosted Stumps";"brier_score";0,0874397815964715;"australian"
5;"Boosted Stumps";"auc";0,919444444444444;"australian"
5;"Boosted Stumps";"acc";0,869565217391304;"australian"
5;"Boosted Stumps";"brier_score";0,109814618675346;"australian"
6;"Boosted Stumps";"auc";0,874137931034483;"australian"
6;"Boosted Stumps";"acc";0,797101449275362;"australian"
6;"Boosted Stumps";"brier_score";0,159623994101054;"australian"
7;"Boosted Stumps";"auc";0,966216216216216;"australian"
7;"Boosted Stumps";"acc";0,898550724637681;"australian"
7;"Boosted Stumps";"brier_score";0,0738815334939342;"australian"
8;"Boosted Stumps";"auc";0,922689075630252;"australian"
8;"Boosted Stumps";"acc";0,840579710144927;"australian"
8;"Boosted Stumps";"brier_score";0,105242200785419;"australian"
9;"Boosted Stumps";"auc";0,911816578483245;"australian"
9;"Boosted Stumps";"acc";0,869565217391304;"australian"
9;"Boosted Stumps";"brier_score";0,0981478792326959;"australian"
10;"Boosted Stumps";"auc";0,968376068376068;"australian"
10;"Boosted Stumps";"acc";0,898550724637681;"australian"
10;"Boosted Stumps";"brier_score";0,0682397730291004;"australian"
1;"CART";"auc";0,885714285714286;"australian"
1;"CART";"acc";0,797101449275362;"australian"
1;"CART";"brier_score";0,137599612996085;"australian"
2;"CART";"auc";0,912563667232598;"australian"
2;"CART";"acc";0,884057971014493;"australian"
2;"CART";"brier_score";0,0973611689110785;"australian"
3;"CART";"auc";0,915966386554622;"australian"
3;"CART";"acc";0,840579710144927;"australian"
3;"CART";"brier_score";0,115116828734614;"australian"
4;"CART";"auc";0,928631756756757;"australian"
4;"CART";"acc";0,884057971014493;"australian"
4;"CART";"brier_score";0,0948095123293862;"australian"
5;"CART";"auc";0,868981481481482;"australian"
5;"CART";"acc";0,826086956521739;"australian"
5;"CART";"brier_score";0,144055187885792;"australian"
6;"CART";"auc";0,828448275862069;"australian"
6;"CART";"acc";0,782608695652174;"australian"
6;"CART";"brier_score";0,166307579656159;"australian"
7;"CART";"auc";0,942989864864865;"australian"
7;"CART";"acc";0,884057971014493;"australian"
7;"CART";"brier_score";0,08681156981872;"australian"
8;"CART";"auc";0,893697478991597;"australian"
8;"CART";"acc";0,826086956521739;"australian"
8;"CART";"brier_score";0,137446882610911;"australian"
9;"CART";"auc";0,885802469135803;"australian"
9;"CART";"acc";0,855072463768116;"australian"
9;"CART";"brier_score";0,119402630741489;"australian"
10;"CART";"auc";0,944871794871795;"australian"
10;"CART";"acc";0,869565217391304;"australian"
10;"CART";"brier_score";0,091110172144906;"australian"
1;"ElasticNet";"auc";0,91890756302521;"australian"
1;"ElasticNet";"acc";0,797101449275362;"australian"
1;"ElasticNet";"brier_score";0,125137471781661;"australian"
2;"ElasticNet";"auc";0,950764006791171;"australian"
2;"ElasticNet";"acc";0,884057971014493;"australian"
2;"ElasticNet";"brier_score";0,0879976217496065;"australian"
3;"ElasticNet";"auc";0,960504201680672;"australian"
3;"ElasticNet";"acc";0,869565217391304;"australian"
3;"ElasticNet";"brier_score";0,0894807629735872;"australian"
4;"ElasticNet";"auc";0,945945945945946;"australian"
4;"ElasticNet";"acc";0,855072463768116;"australian"
4;"ElasticNet";"brier_score";0,106781938232251;"australian"
5;"ElasticNet";"auc";0,896296296296296;"australian"
5;"ElasticNet";"acc";0,826086956521739;"australian"
5;"ElasticNet";"brier_score";0,13348088246528;"australian"
6;"ElasticNet";"auc";0,843965517241379;"australian"
6;"ElasticNet";"acc";0,782608695652174;"australian"
6;"ElasticNet";"brier_score";0,162007545331001;"australian"
7;"ElasticNet";"auc";0,946790540540541;"australian"
7;"ElasticNet";"acc";0,898550724637681;"australian"
7;"ElasticNet";"brier_score";0,0855761797461945;"australian"
8;"ElasticNet";"auc";0,92436974789916;"australian"
8;"ElasticNet";"acc";0,884057971014493;"australian"
8;"ElasticNet";"brier_score";0,103284048134346;"australian"
9;"ElasticNet";"auc";0,934744268077601;"australian"
9;"ElasticNet";"acc";0,869565217391304;"australian"
