"fold","method","metric","val","dataset"
1,"Boosted Stumps","auc",0.733893557422969,"ILPD"
1,"Boosted Stumps","acc",0.677966101694915,"ILPD"
1,"Boosted Stumps","brier_score",0.187202988149262,"ILPD"
2,"Boosted Stumps","auc",0.773076923076923,"ILPD"
2,"Boosted Stumps","acc",0.711864406779661,"ILPD"
2,"Boosted Stumps","brier_score",0.186761447016417,"ILPD"
3,"Boosted Stumps","auc",0.645454545454546,"ILPD"
3,"Boosted Stumps","acc",0.711864406779661,"ILPD"
3,"Boosted Stumps","brier_score",0.193573505333147,"ILPD"
4,"Boosted Stumps","auc",0.755434782608696,"ILPD"
4,"Boosted Stumps","acc",0.793103448275862,"ILPD"
4,"Boosted Stumps","brier_score",0.143677896612447,"ILPD"
5,"Boosted Stumps","auc",0.784615384615385,"ILPD"
5,"Boosted Stumps","acc",0.775862068965517,"ILPD"
5,"Boosted Stumps","brier_score",0.147600640820636,"ILPD"
6,"Boosted Stumps","auc",0.753947368421053,"ILPD"
6,"Boosted Stumps","acc",0.620689655172414,"ILPD"
6,"Boosted Stumps","brier_score",0.199482118121649,"ILPD"
7,"Boosted Stumps","auc",0.664275466284075,"ILPD"
7,"Boosted Stumps","acc",0.620689655172414,"ILPD"
7,"Boosted Stumps","brier_score",0.196855962529447,"ILPD"
8,"Boosted Stumps","auc",0.66046511627907,"ILPD"
8,"Boosted Stumps","acc",0.706896551724138,"ILPD"
8,"Boosted Stumps","brier_score",0.183762725969208,"ILPD"
9,"Boosted Stumps","auc",0.767676767676768,"ILPD"
9,"Boosted Stumps","acc",0.706896551724138,"ILPD"
9,"Boosted Stumps","brier_score",0.194932834594284,"ILPD"
10,"Boosted Stumps","auc",0.736607142857143,"ILPD"
10,"Boosted Stumps","acc",0.672413793103448,"ILPD"
10,"Boosted Stumps","brier_score",0.181165025839024,"ILPD"
