"fold","method","metric","val","dataset"
1,"CART","auc",0.696078431372549,"ILPD"
1,"CART","acc",0.661016949152542,"ILPD"
1,"CART","brier_score",0.224706756665898,"ILPD"
2,"CART","auc",0.645512820512821,"ILPD"
2,"CART","acc",0.644067796610169,"ILPD"
2,"CART","brier_score",0.241425138046114,"ILPD"
3,"CART","auc",0.698484848484848,"ILPD"
3,"CART","acc",0.711864406779661,"ILPD"
3,"CART","brier_score",0.187943481017677,"ILPD"
4,"CART","auc",0.663949275362319,"ILPD"
4,"CART","acc",0.724137931034483,"ILPD"
4,"CART","brier_score",0.19020695189593,"ILPD"
5,"CART","auc",0.735897435897436,"ILPD"
5,"CART","acc",0.758620689655172,"ILPD"
5,"CART","brier_score",0.175356928785993,"ILPD"
6,"CART","auc",0.629605263157895,"ILPD"
6,"CART","acc",0.568965517241379,"ILPD"
6,"CART","brier_score",0.30640538290013,"ILPD"
7,"CART","auc",0.594691535150646,"ILPD"
7,"CART","acc",0.620689655172414,"ILPD"
7,"CART","brier_score",0.253914211999218,"ILPD"
8,"CART","auc",0.697674418604651,"ILPD"
8,"CART","acc",0.706896551724138,"ILPD"
8,"CART","brier_score",0.194879318438172,"ILPD"
9,"CART","auc",0.688131313131313,"ILPD"
9,"CART","acc",0.620689655172414,"ILPD"
9,"CART","brier_score",0.261243702439764,"ILPD"
10,"CART","auc",0.692708333333333,"ILPD"
10,"CART","acc",0.689655172413793,"ILPD"
10,"CART","brier_score",0.202230023470569,"ILPD"
