"fold","method","metric","val","dataset"
1,"ElasticNet","auc",0.753501400560224,"ILPD"
1,"ElasticNet","acc",0.711864406779661,"ILPD"
1,"ElasticNet","brier_score",0.182205635413488,"ILPD"
2,"ElasticNet","auc",0.81025641025641,"ILPD"
2,"ElasticNet","acc",0.661016949152542,"ILPD"
2,"ElasticNet","brier_score",0.186729143815842,"ILPD"
3,"ElasticNet","auc",0.593939393939394,"ILPD"
3,"ElasticNet","acc",0.711864406779661,"ILPD"
3,"ElasticNet","brier_score",0.209961059256015,"ILPD"
4,"ElasticNet","auc",0.813405797101449,"ILPD"
4,"ElasticNet","acc",0.793103448275862,"ILPD"
4,"ElasticNet","brier_score",0.144936760778212,"ILPD"
5,"ElasticNet","auc",0.685470085470085,"ILPD"
5,"ElasticNet","acc",0.775862068965517,"ILPD"
5,"ElasticNet","brier_score",0.174258169474998,"ILPD"
6,"ElasticNet","auc",0.647368421052632,"ILPD"
6,"ElasticNet","acc",0.655172413793103,"ILPD"
6,"ElasticNet","brier_score",0.211290503476237,"ILPD"
7,"ElasticNet","auc",0.576757532281205,"ILPD"
7,"ElasticNet","acc",0.706896551724138,"ILPD"
7,"ElasticNet","brier_score",0.206896503524215,"ILPD"
8,"ElasticNet","auc",0.717829457364341,"ILPD"
8,"ElasticNet","acc",0.758620689655172,"ILPD"
8,"ElasticNet","brier_score",0.175483546376504,"ILPD"
9,"ElasticNet","auc",0.79040404040404,"ILPD"
9,"ElasticNet","acc",0.603448275862069,"ILPD"
9,"ElasticNet","brier_score",0.205152769945209,"ILPD"
10,"ElasticNet","auc",0.754464285714286,"ILPD"
10,"ElasticNet","acc",0.724137931034483,"ILPD"
10,"ElasticNet","brier_score",0.174850709555164,"ILPD"
