"fold","method","metric","val","dataset"
1,"GBM","auc",0.750700280112045,"ILPD"
1,"GBM","acc",0.694915254237288,"ILPD"
1,"GBM","brier_score",0.184746043843706,"ILPD"
2,"GBM","auc",0.75,"ILPD"
2,"GBM","acc",0.728813559322034,"ILPD"
2,"GBM","brier_score",0.193013607951784,"ILPD"
3,"GBM","auc",0.666666666666667,"ILPD"
3,"GBM","acc",0.728813559322034,"ILPD"
3,"GBM","brier_score",0.18618558550126,"ILPD"
4,"GBM","auc",0.780797101449275,"ILPD"
4,"GBM","acc",0.810344827586207,"ILPD"
4,"GBM","brier_score",0.136826988710638,"ILPD"
5,"GBM","auc",0.784615384615385,"ILPD"
5,"GBM","acc",0.775862068965517,"ILPD"
5,"GBM","brier_score",0.140680385595853,"ILPD"
6,"GBM","auc",0.755263157894737,"ILPD"
6,"GBM","acc",0.637931034482759,"ILPD"
6,"GBM","brier_score",0.199182000971434,"ILPD"
7,"GBM","auc",0.626972740315638,"ILPD"
7,"GBM","acc",0.672413793103448,"ILPD"
7,"GBM","brier_score",0.207185413506929,"ILPD"
8,"GBM","auc",0.671317829457364,"ILPD"
8,"GBM","acc",0.706896551724138,"ILPD"
8,"GBM","brier_score",0.180193851914582,"ILPD"
9,"GBM","auc",0.771464646464646,"ILPD"
9,"GBM","acc",0.655172413793103,"ILPD"
9,"GBM","brier_score",0.191684582585252,"ILPD"
10,"GBM","auc",0.760416666666667,"ILPD"
10,"GBM","acc",0.706896551724138,"ILPD"
10,"GBM","brier_score",0.171680269375057,"ILPD"
