"fold","method","metric","val","dataset"
1,"Lasso","auc",0.756302521008403,"ILPD"
1,"Lasso","acc",0.711864406779661,"ILPD"
1,"Lasso","brier_score",0.181863540700214,"ILPD"
2,"Lasso","auc",0.81025641025641,"ILPD"
2,"Lasso","acc",0.661016949152542,"ILPD"
2,"Lasso","brier_score",0.187173374286676,"ILPD"
3,"Lasso","auc",0.593939393939394,"ILPD"
3,"Lasso","acc",0.711864406779661,"ILPD"
3,"Lasso","brier_score",0.209421989512732,"ILPD"
4,"Lasso","auc",0.83695652173913,"ILPD"
4,"Lasso","acc",0.793103448275862,"ILPD"
4,"Lasso","brier_score",0.1394144966104,"ILPD"
5,"Lasso","auc",0.678632478632479,"ILPD"
5,"Lasso","acc",0.775862068965517,"ILPD"
5,"Lasso","brier_score",0.175255308056535,"ILPD"
6,"Lasso","auc",0.657894736842105,"ILPD"
6,"Lasso","acc",0.655172413793103,"ILPD"
6,"Lasso","brier_score",0.209617191350908,"ILPD"
7,"Lasso","auc",0.57819225251076,"ILPD"
7,"Lasso","acc",0.689655172413793,"ILPD"
7,"Lasso","brier_score",0.207781300140659,"ILPD"
8,"Lasso","auc",0.716279069767442,"ILPD"
8,"Lasso","acc",0.758620689655172,"ILPD"
8,"Lasso","brier_score",0.1755242349498,"ILPD"
9,"Lasso","auc",0.787878787878788,"ILPD"
9,"Lasso","acc",0.603448275862069,"ILPD"
9,"Lasso","brier_score",0.205344262476724,"ILPD"
10,"Lasso","auc",0.754464285714286,"ILPD"
10,"Lasso","acc",0.724137931034483,"ILPD"
10,"Lasso","brier_score",0.174900392337142,"ILPD"
