"fold","method","metric","val","dataset"
1,"Ridge","auc",0.763305322128851,"ILPD"
1,"Ridge","acc",0.711864406779661,"ILPD"
1,"Ridge","brier_score",0.182212206606876,"ILPD"
2,"Ridge","auc",0.805128205128205,"ILPD"
2,"Ridge","acc",0.661016949152542,"ILPD"
2,"Ridge","brier_score",0.190832809467716,"ILPD"
3,"Ridge","auc",0.596969696969697,"ILPD"
3,"Ridge","acc",0.711864406779661,"ILPD"
3,"Ridge","brier_score",0.208773726235279,"ILPD"
4,"Ridge","auc",0.840579710144927,"ILPD"
4,"Ridge","acc",0.793103448275862,"ILPD"
4,"Ridge","brier_score",0.138658252096577,"ILPD"
5,"Ridge","auc",0.671794871794872,"ILPD"
5,"Ridge","acc",0.775862068965517,"ILPD"
5,"Ridge","brier_score",0.173917651062624,"ILPD"
6,"Ridge","auc",0.677631578947368,"ILPD"
6,"Ridge","acc",0.655172413793103,"ILPD"
6,"Ridge","brier_score",0.206006575954426,"ILPD"
7,"Ridge","auc",0.57819225251076,"ILPD"
7,"Ridge","acc",0.706896551724138,"ILPD"
7,"Ridge","brier_score",0.205390415867157,"ILPD"
8,"Ridge","auc",0.716279069767442,"ILPD"
8,"Ridge","acc",0.758620689655172,"ILPD"
8,"Ridge","brier_score",0.176112824898408,"ILPD"
9,"Ridge","auc",0.792929292929293,"ILPD"
9,"Ridge","acc",0.620689655172414,"ILPD"
9,"Ridge","brier_score",0.207477756788481,"ILPD"
10,"Ridge","auc",0.745535714285714,"ILPD"
10,"Ridge","acc",0.724137931034483,"ILPD"
10,"Ridge","brier_score",0.178572966266476,"ILPD"
