"fold","method","metric","val","dataset"
1,"glm","auc",0.753501400560224,"ILPD"
1,"glm","acc",0.677966101694915,"ILPD"
1,"glm","brier_score",0.171489565493628,"ILPD"
2,"glm","auc",0.791025641025641,"ILPD"
2,"glm","acc",0.745762711864407,"ILPD"
2,"glm","brier_score",0.180926566405899,"ILPD"
3,"glm","auc",0.646969696969697,"ILPD"
3,"glm","acc",0.677966101694915,"ILPD"
3,"glm","brier_score",0.18696248272058,"ILPD"
4,"glm","auc",0.786231884057971,"ILPD"
4,"glm","acc",0.862068965517241,"ILPD"
4,"glm","brier_score",0.144083405057985,"ILPD"
5,"glm","auc",0.798290598290598,"ILPD"
5,"glm","acc",0.862068965517241,"ILPD"
5,"glm","brier_score",0.142136012986464,"ILPD"
6,"glm","auc",0.717105263157895,"ILPD"
6,"glm","acc",0.603448275862069,"ILPD"
6,"glm","brier_score",0.202423647368271,"ILPD"
7,"glm","auc",0.645624103299857,"ILPD"
7,"glm","acc",0.637931034482759,"ILPD"
7,"glm","brier_score",0.199235781120116,"ILPD"
8,"glm","auc",0.716279069767442,"ILPD"
8,"glm","acc",0.758620689655172,"ILPD"
8,"glm","brier_score",0.168744502872941,"ILPD"
9,"glm","auc",0.741161616161616,"ILPD"
9,"glm","acc",0.672413793103448,"ILPD"
9,"glm","brier_score",0.205302813345343,"ILPD"
10,"glm","auc",0.787202380952381,"ILPD"
10,"glm","acc",0.741379310344828,"ILPD"
10,"glm","brier_score",0.157086249493451,"ILPD"
