"fold","method","metric","val","dataset"
1,"rf","auc",0.792016806722689,"ILPD"
1,"rf","acc",0.728813559322034,"ILPD"
1,"rf","brier_score",0.163662305084746,"ILPD"
2,"rf","auc",0.738461538461539,"ILPD"
2,"rf","acc",0.661016949152542,"ILPD"
2,"rf","brier_score",0.198102644067797,"ILPD"
3,"rf","auc",0.74469696969697,"ILPD"
3,"rf","acc",0.728813559322034,"ILPD"
3,"rf","brier_score",0.168610644067797,"ILPD"
4,"rf","auc",0.82518115942029,"ILPD"
4,"rf","acc",0.827586206896552,"ILPD"
4,"rf","brier_score",0.129378275862069,"ILPD"
5,"rf","auc",0.758974358974359,"ILPD"
5,"rf","acc",0.706896551724138,"ILPD"
5,"rf","brier_score",0.153909172413793,"ILPD"
6,"rf","auc",0.784868421052632,"ILPD"
6,"rf","acc",0.655172413793103,"ILPD"
6,"rf","brier_score",0.182601655172414,"ILPD"
7,"rf","auc",0.667144906743185,"ILPD"
7,"rf","acc",0.689655172413793,"ILPD"
7,"rf","brier_score",0.194151931034483,"ILPD"
8,"rf","auc",0.762790697674419,"ILPD"
8,"rf","acc",0.724137931034483,"ILPD"
8,"rf","brier_score",0.158398,"ILPD"
9,"rf","auc",0.75,"ILPD"
9,"rf","acc",0.689655172413793,"ILPD"
9,"rf","brier_score",0.192080206896552,"ILPD"
10,"rf","auc",0.716517857142857,"ILPD"
10,"rf","acc",0.637931034482759,"ILPD"
10,"rf","brier_score",0.181928137931034,"ILPD"
