"fold","method","metric","val","dataset"
1,"Boosted Stumps","auc",0.949832775919732,"Ionosphere"
1,"Boosted Stumps","acc",0.944444444444444,"Ionosphere"
1,"Boosted Stumps","brier_score",0.0607099219802268,"Ionosphere"
2,"Boosted Stumps","auc",0.948,"Ionosphere"
2,"Boosted Stumps","acc",0.914285714285714,"Ionosphere"
2,"Boosted Stumps","brier_score",0.0734730441809,"Ionosphere"
3,"Boosted Stumps","auc",0.985507246376812,"Ionosphere"
3,"Boosted Stumps","acc",0.942857142857143,"Ionosphere"
3,"Boosted Stumps","brier_score",0.0502988602447674,"Ionosphere"
4,"Boosted Stumps","auc",0.928104575163399,"Ionosphere"
4,"Boosted Stumps","acc",0.857142857142857,"Ionosphere"
4,"Boosted Stumps","brier_score",0.113896456129201,"Ionosphere"
5,"Boosted Stumps","auc",1,"Ionosphere"
5,"Boosted Stumps","acc",0.971428571428571,"Ionosphere"
5,"Boosted Stumps","brier_score",0.0164112089740764,"Ionosphere"
6,"Boosted Stumps","auc",1,"Ionosphere"
6,"Boosted Stumps","acc",0.971428571428571,"Ionosphere"
6,"Boosted Stumps","brier_score",0.0184515258390118,"Ionosphere"
7,"Boosted Stumps","auc",0.988,"Ionosphere"
7,"Boosted Stumps","acc",0.942857142857143,"Ionosphere"
7,"Boosted Stumps","brier_score",0.0411844719312705,"Ionosphere"
8,"Boosted Stumps","auc",0.987179487179487,"Ionosphere"
8,"Boosted Stumps","acc",0.942857142857143,"Ionosphere"
8,"Boosted Stumps","brier_score",0.0479421729030043,"Ionosphere"
9,"Boosted Stumps","auc",0.959183673469388,"Ionosphere"
9,"Boosted Stumps","acc",0.885714285714286,"Ionosphere"
9,"Boosted Stumps","brier_score",0.0821896429576882,"Ionosphere"
10,"Boosted Stumps","auc",0.977272727272727,"Ionosphere"
10,"Boosted Stumps","acc",0.885714285714286,"Ionosphere"
10,"Boosted Stumps","brier_score",0.0760679417463054,"Ionosphere"
