"fold","method","metric","val","dataset"
1,"CART","auc",0.884615384615385,"Ionosphere"
1,"CART","acc",0.888888888888889,"Ionosphere"
1,"CART","brier_score",0.0996082115086521,"Ionosphere"
2,"CART","auc",0.944,"Ionosphere"
2,"CART","acc",0.914285714285714,"Ionosphere"
2,"CART","brier_score",0.065627172950808,"Ionosphere"
3,"CART","auc",0.855072463768116,"Ionosphere"
3,"CART","acc",0.885714285714286,"Ionosphere"
3,"CART","brier_score",0.105343955995662,"Ionosphere"
4,"CART","auc",0.800653594771242,"Ionosphere"
4,"CART","acc",0.742857142857143,"Ionosphere"
4,"CART","brier_score",0.222018807955309,"Ionosphere"
5,"CART","auc",0.992753623188406,"Ionosphere"
5,"CART","acc",0.971428571428571,"Ionosphere"
5,"CART","brier_score",0.0271424614104475,"Ionosphere"
6,"CART","auc",0.941176470588235,"Ionosphere"
6,"CART","acc",0.828571428571429,"Ionosphere"
6,"CART","brier_score",0.103304064979235,"Ionosphere"
7,"CART","auc",0.968,"Ionosphere"
7,"CART","acc",0.942857142857143,"Ionosphere"
7,"CART","brier_score",0.051200053166032,"Ionosphere"
8,"CART","auc",0.972222222222222,"Ionosphere"
8,"CART","acc",0.914285714285714,"Ionosphere"
8,"CART","brier_score",0.0613464564685137,"Ionosphere"
9,"CART","auc",0.903061224489796,"Ionosphere"
9,"CART","acc",0.8,"Ionosphere"
9,"CART","brier_score",0.145079347939079,"Ionosphere"
10,"CART","auc",0.888257575757576,"Ionosphere"
10,"CART","acc",0.857142857142857,"Ionosphere"
10,"CART","brier_score",0.109986520480726,"Ionosphere"
