"fold","method","metric","val","dataset"
1,"ElasticNet","auc",0.822742474916388,"Ionosphere"
1,"ElasticNet","acc",0.833333333333333,"Ionosphere"
1,"ElasticNet","brier_score",0.130407311426558,"Ionosphere"
2,"ElasticNet","auc",0.94,"Ionosphere"
2,"ElasticNet","acc",0.885714285714286,"Ionosphere"
2,"ElasticNet","brier_score",0.105997992125401,"Ionosphere"
3,"ElasticNet","auc",0.934782608695652,"Ionosphere"
3,"ElasticNet","acc",0.885714285714286,"Ionosphere"
3,"ElasticNet","brier_score",0.105021866103254,"Ionosphere"
4,"ElasticNet","auc",0.875816993464052,"Ionosphere"
4,"ElasticNet","acc",0.771428571428571,"Ionosphere"
4,"ElasticNet","brier_score",0.168662100852449,"Ionosphere"
5,"ElasticNet","auc",0.985507246376812,"Ionosphere"
5,"ElasticNet","acc",0.914285714285714,"Ionosphere"
5,"ElasticNet","brier_score",0.0793146529947913,"Ionosphere"
6,"ElasticNet","auc",0.882352941176471,"Ionosphere"
6,"ElasticNet","acc",0.857142857142857,"Ionosphere"
6,"ElasticNet","brier_score",0.143196465392866,"Ionosphere"
7,"ElasticNet","auc",0.912,"Ionosphere"
7,"ElasticNet","acc",0.914285714285714,"Ionosphere"
7,"ElasticNet","brier_score",0.0929860702579806,"Ionosphere"
8,"ElasticNet","auc",0.884615384615385,"Ionosphere"
8,"ElasticNet","acc",0.942857142857143,"Ionosphere"
8,"ElasticNet","brier_score",0.0886478857523528,"Ionosphere"
9,"ElasticNet","auc",0.972789115646258,"Ionosphere"
9,"ElasticNet","acc",0.857142857142857,"Ionosphere"
9,"ElasticNet","brier_score",0.0948951966289018,"Ionosphere"
10,"ElasticNet","auc",0.886363636363636,"Ionosphere"
10,"ElasticNet","acc",0.828571428571429,"Ionosphere"
10,"ElasticNet","brier_score",0.12788426704958,"Ionosphere"
