"fold","method","metric","val","dataset"
1,"GBM","auc",0.956521739130435,"Ionosphere"
1,"GBM","acc",0.916666666666667,"Ionosphere"
1,"GBM","brier_score",0.0633688353760855,"Ionosphere"
2,"GBM","auc",0.952,"Ionosphere"
2,"GBM","acc",0.885714285714286,"Ionosphere"
2,"GBM","brier_score",0.0638008624652629,"Ionosphere"
3,"GBM","auc",0.981884057971015,"Ionosphere"
3,"GBM","acc",0.942857142857143,"Ionosphere"
3,"GBM","brier_score",0.0561816230318359,"Ionosphere"
4,"GBM","auc",0.947712418300654,"Ionosphere"
4,"GBM","acc",0.885714285714286,"Ionosphere"
4,"GBM","brier_score",0.103850416160224,"Ionosphere"
5,"GBM","auc",1,"Ionosphere"
5,"GBM","acc",1,"Ionosphere"
5,"GBM","brier_score",0.00646484051278925,"Ionosphere"
6,"GBM","auc",0.996732026143791,"Ionosphere"
6,"GBM","acc",0.971428571428571,"Ionosphere"
6,"GBM","brier_score",0.0303755946391011,"Ionosphere"
7,"GBM","auc",0.988,"Ionosphere"
7,"GBM","acc",0.971428571428571,"Ionosphere"
7,"GBM","brier_score",0.0354045741933651,"Ionosphere"
8,"GBM","auc",0.995726495726496,"Ionosphere"
8,"GBM","acc",0.942857142857143,"Ionosphere"
8,"GBM","brier_score",0.0329128363417752,"Ionosphere"
9,"GBM","auc",0.942176870748299,"Ionosphere"
9,"GBM","acc",0.971428571428571,"Ionosphere"
9,"GBM","brier_score",0.0537754478989665,"Ionosphere"
10,"GBM","auc",0.973484848484849,"Ionosphere"
10,"GBM","acc",0.885714285714286,"Ionosphere"
10,"GBM","brier_score",0.0682736277044247,"Ionosphere"
