"fold","method","metric","val","dataset"
1,"Lasso","auc",0.816053511705686,"Ionosphere"
1,"Lasso","acc",0.833333333333333,"Ionosphere"
1,"Lasso","brier_score",0.131151692858,"Ionosphere"
2,"Lasso","auc",0.928,"Ionosphere"
2,"Lasso","acc",0.885714285714286,"Ionosphere"
2,"Lasso","brier_score",0.10786387400234,"Ionosphere"
3,"Lasso","auc",0.931159420289855,"Ionosphere"
3,"Lasso","acc",0.885714285714286,"Ionosphere"
3,"Lasso","brier_score",0.104991567236116,"Ionosphere"
4,"Lasso","auc",0.869281045751634,"Ionosphere"
4,"Lasso","acc",0.771428571428571,"Ionosphere"
4,"Lasso","brier_score",0.173254084008251,"Ionosphere"
5,"Lasso","auc",0.971014492753623,"Ionosphere"
5,"Lasso","acc",0.971428571428571,"Ionosphere"
5,"Lasso","brier_score",0.0935134456812367,"Ionosphere"
6,"Lasso","auc",0.879084967320261,"Ionosphere"
6,"Lasso","acc",0.828571428571429,"Ionosphere"
6,"Lasso","brier_score",0.144282595332719,"Ionosphere"
7,"Lasso","auc",0.916,"Ionosphere"
7,"Lasso","acc",0.914285714285714,"Ionosphere"
7,"Lasso","brier_score",0.093606532319935,"Ionosphere"
8,"Lasso","auc",0.884615384615385,"Ionosphere"
8,"Lasso","acc",0.942857142857143,"Ionosphere"
8,"Lasso","brier_score",0.0920546934669582,"Ionosphere"
9,"Lasso","auc",0.962585034013605,"Ionosphere"
9,"Lasso","acc",0.857142857142857,"Ionosphere"
9,"Lasso","brier_score",0.100888142139702,"Ionosphere"
10,"Lasso","auc",0.882575757575758,"Ionosphere"
10,"Lasso","acc",0.828571428571429,"Ionosphere"
10,"Lasso","brier_score",0.127608472129457,"Ionosphere"
