"fold","method","metric","val","dataset"
1,"Ridge","auc",0.859531772575251,"Ionosphere"
1,"Ridge","acc",0.888888888888889,"Ionosphere"
1,"Ridge","brier_score",0.122682171806484,"Ionosphere"
2,"Ridge","auc",0.944,"Ionosphere"
2,"Ridge","acc",0.885714285714286,"Ionosphere"
2,"Ridge","brier_score",0.095270422076327,"Ionosphere"
3,"Ridge","auc",0.938405797101449,"Ionosphere"
3,"Ridge","acc",0.885714285714286,"Ionosphere"
3,"Ridge","brier_score",0.103393021064999,"Ionosphere"
4,"Ridge","auc",0.872549019607843,"Ionosphere"
4,"Ridge","acc",0.771428571428571,"Ionosphere"
4,"Ridge","brier_score",0.168033276877962,"Ionosphere"
5,"Ridge","auc",0.992753623188406,"Ionosphere"
5,"Ridge","acc",0.914285714285714,"Ionosphere"
5,"Ridge","brier_score",0.0817205092397978,"Ionosphere"
6,"Ridge","auc",0.875816993464052,"Ionosphere"
6,"Ridge","acc",0.857142857142857,"Ionosphere"
6,"Ridge","brier_score",0.144014979760937,"Ionosphere"
7,"Ridge","auc",0.928,"Ionosphere"
7,"Ridge","acc",0.914285714285714,"Ionosphere"
7,"Ridge","brier_score",0.0885453351780491,"Ionosphere"
8,"Ridge","auc",0.888888888888889,"Ionosphere"
8,"Ridge","acc",0.971428571428571,"Ionosphere"
8,"Ridge","brier_score",0.0778191957025894,"Ionosphere"
9,"Ridge","auc",0.935374149659864,"Ionosphere"
9,"Ridge","acc",0.857142857142857,"Ionosphere"
9,"Ridge","brier_score",0.107780916823634,"Ionosphere"
10,"Ridge","auc",0.890151515151515,"Ionosphere"
10,"Ridge","acc",0.828571428571429,"Ionosphere"
10,"Ridge","brier_score",0.12330700614584,"Ionosphere"
