"fold","method","metric","val","dataset"
1,"glm","auc",0.88628762541806,"Ionosphere"
1,"glm","acc",0.861111111111111,"Ionosphere"
1,"glm","brier_score",0.110432135821822,"Ionosphere"
2,"glm","auc",0.764,"Ionosphere"
2,"glm","acc",0.885714285714286,"Ionosphere"
2,"glm","brier_score",0.114387323006943,"Ionosphere"
3,"glm","auc",0.851449275362319,"Ionosphere"
3,"glm","acc",0.828571428571429,"Ionosphere"
3,"glm","brier_score",0.139839087593797,"Ionosphere"
4,"glm","auc",0.895424836601307,"Ionosphere"
4,"glm","acc",0.857142857142857,"Ionosphere"
4,"glm","brier_score",0.106406382368816,"Ionosphere"
5,"glm","auc",0.916666666666667,"Ionosphere"
5,"glm","acc",0.942857142857143,"Ionosphere"
5,"glm","brier_score",0.0544048787380715,"Ionosphere"
6,"glm","auc",0.852941176470588,"Ionosphere"
6,"glm","acc",0.828571428571429,"Ionosphere"
6,"glm","brier_score",0.161766536023581,"Ionosphere"
7,"glm","auc",1,"Ionosphere"
7,"glm","acc",0.971428571428571,"Ionosphere"
7,"glm","brier_score",0.0237980535904754,"Ionosphere"
8,"glm","auc",0.824786324786325,"Ionosphere"
8,"glm","acc",0.857142857142857,"Ionosphere"
8,"glm","brier_score",0.114365032156581,"Ionosphere"
9,"glm","auc",0.86734693877551,"Ionosphere"
9,"glm","acc",0.885714285714286,"Ionosphere"
9,"glm","brier_score",0.0983344285893258,"Ionosphere"
10,"glm","auc",0.803030303030303,"Ionosphere"
10,"glm","acc",0.857142857142857,"Ionosphere"
10,"glm","brier_score",0.122072467803662,"Ionosphere"
