"fold","method","metric","val","dataset"
1,"rf","auc",0.993311036789298,"Ionosphere"
1,"rf","acc",0.944444444444444,"Ionosphere"
1,"rf","brier_score",0.0430104444444444,"Ionosphere"
2,"rf","auc",0.972,"Ionosphere"
2,"rf","acc",0.885714285714286,"Ionosphere"
2,"rf","brier_score",0.0620281142857143,"Ionosphere"
3,"rf","auc",0.981884057971015,"Ionosphere"
3,"rf","acc",0.942857142857143,"Ionosphere"
3,"rf","brier_score",0.0558746285714286,"Ionosphere"
4,"rf","auc",0.964052287581699,"Ionosphere"
4,"rf","acc",0.885714285714286,"Ionosphere"
4,"rf","brier_score",0.0886061714285714,"Ionosphere"
5,"rf","auc",1,"Ionosphere"
5,"rf","acc",1,"Ionosphere"
5,"rf","brier_score",0.00792948571428571,"Ionosphere"
6,"rf","auc",0.996732026143791,"Ionosphere"
6,"rf","acc",0.971428571428571,"Ionosphere"
6,"rf","brier_score",0.0412364571428571,"Ionosphere"
7,"rf","auc",0.992,"Ionosphere"
7,"rf","acc",0.971428571428571,"Ionosphere"
7,"rf","brier_score",0.0352877714285714,"Ionosphere"
8,"rf","auc",0.991452991452991,"Ionosphere"
8,"rf","acc",0.942857142857143,"Ionosphere"
8,"rf","brier_score",0.0305347428571429,"Ionosphere"
9,"rf","auc",0.943877551020408,"Ionosphere"
9,"rf","acc",0.942857142857143,"Ionosphere"
9,"rf","brier_score",0.0657576,"Ionosphere"
10,"rf","auc",0.962121212121212,"Ionosphere"
10,"rf","acc",0.885714285714286,"Ionosphere"
10,"rf","brier_score",0.0714843428571429,"Ionosphere"
