"fold","method","metric","val","dataset"
1,"Boosted Stumps","auc",0.963865546218487,"australian"
1,"Boosted Stumps","acc",0.855072463768116,"australian"
1,"Boosted Stumps","brier_score",0.0817891992745671,"australian"
2,"Boosted Stumps","auc",0.952461799660441,"australian"
2,"Boosted Stumps","acc",0.869565217391304,"australian"
2,"Boosted Stumps","brier_score",0.0893938451761579,"australian"
3,"Boosted Stumps","auc",0.956302521008403,"australian"
3,"Boosted Stumps","acc",0.884057971014493,"australian"
3,"Boosted Stumps","brier_score",0.0807725210243226,"australian"
4,"Boosted Stumps","auc",0.9375,"australian"
4,"Boosted Stumps","acc",0.869565217391304,"australian"
4,"Boosted Stumps","brier_score",0.0874397815964715,"australian"
5,"Boosted Stumps","auc",0.919444444444444,"australian"
5,"Boosted Stumps","acc",0.869565217391304,"australian"
5,"Boosted Stumps","brier_score",0.109814618675346,"australian"
6,"Boosted Stumps","auc",0.874137931034483,"australian"
6,"Boosted Stumps","acc",0.797101449275362,"australian"
6,"Boosted Stumps","brier_score",0.159623994101054,"australian"
7,"Boosted Stumps","auc",0.966216216216216,"australian"
7,"Boosted Stumps","acc",0.898550724637681,"australian"
7,"Boosted Stumps","brier_score",0.0738815334939342,"australian"
8,"Boosted Stumps","auc",0.922689075630252,"australian"
8,"Boosted Stumps","acc",0.840579710144927,"australian"
8,"Boosted Stumps","brier_score",0.105242200785419,"australian"
9,"Boosted Stumps","auc",0.911816578483245,"australian"
9,"Boosted Stumps","acc",0.869565217391304,"australian"
9,"Boosted Stumps","brier_score",0.0981478792326959,"australian"
10,"Boosted Stumps","auc",0.968376068376068,"australian"
10,"Boosted Stumps","acc",0.898550724637681,"australian"
10,"Boosted Stumps","brier_score",0.0682397730291004,"australian"
