"fold","method","metric","val","dataset"
1,"CART","auc",0.885714285714286,"australian"
1,"CART","acc",0.797101449275362,"australian"
1,"CART","brier_score",0.137599612996085,"australian"
2,"CART","auc",0.912563667232598,"australian"
2,"CART","acc",0.884057971014493,"australian"
2,"CART","brier_score",0.0973611689110785,"australian"
3,"CART","auc",0.915966386554622,"australian"
3,"CART","acc",0.840579710144927,"australian"
3,"CART","brier_score",0.115116828734614,"australian"
4,"CART","auc",0.928631756756757,"australian"
4,"CART","acc",0.884057971014493,"australian"
4,"CART","brier_score",0.0948095123293862,"australian"
5,"CART","auc",0.868981481481482,"australian"
5,"CART","acc",0.826086956521739,"australian"
5,"CART","brier_score",0.144055187885792,"australian"
6,"CART","auc",0.828448275862069,"australian"
6,"CART","acc",0.782608695652174,"australian"
6,"CART","brier_score",0.166307579656159,"australian"
7,"CART","auc",0.942989864864865,"australian"
7,"CART","acc",0.884057971014493,"australian"
7,"CART","brier_score",0.08681156981872,"australian"
8,"CART","auc",0.893697478991597,"australian"
8,"CART","acc",0.826086956521739,"australian"
8,"CART","brier_score",0.137446882610911,"australian"
9,"CART","auc",0.885802469135803,"australian"
9,"CART","acc",0.855072463768116,"australian"
9,"CART","brier_score",0.119402630741489,"australian"
10,"CART","auc",0.944871794871795,"australian"
10,"CART","acc",0.869565217391304,"australian"
10,"CART","brier_score",0.091110172144906,"australian"
