"fold","method","metric","val","dataset"
1,"ElasticNet","auc",0.91890756302521,"australian"
1,"ElasticNet","acc",0.797101449275362,"australian"
1,"ElasticNet","brier_score",0.125137471781661,"australian"
2,"ElasticNet","auc",0.950764006791171,"australian"
2,"ElasticNet","acc",0.884057971014493,"australian"
2,"ElasticNet","brier_score",0.0879976217496065,"australian"
3,"ElasticNet","auc",0.960504201680672,"australian"
3,"ElasticNet","acc",0.869565217391304,"australian"
3,"ElasticNet","brier_score",0.0894807629735872,"australian"
4,"ElasticNet","auc",0.945945945945946,"australian"
4,"ElasticNet","acc",0.855072463768116,"australian"
4,"ElasticNet","brier_score",0.106781938232251,"australian"
5,"ElasticNet","auc",0.896296296296296,"australian"
5,"ElasticNet","acc",0.826086956521739,"australian"
5,"ElasticNet","brier_score",0.13348088246528,"australian"
6,"ElasticNet","auc",0.843965517241379,"australian"
6,"ElasticNet","acc",0.782608695652174,"australian"
6,"ElasticNet","brier_score",0.162007545331001,"australian"
7,"ElasticNet","auc",0.946790540540541,"australian"
7,"ElasticNet","acc",0.898550724637681,"australian"
7,"ElasticNet","brier_score",0.0855761797461945,"australian"
8,"ElasticNet","auc",0.92436974789916,"australian"
8,"ElasticNet","acc",0.884057971014493,"australian"
8,"ElasticNet","brier_score",0.103284048134346,"australian"
9,"ElasticNet","auc",0.934744268077601,"australian"
9,"ElasticNet","acc",0.869565217391304,"australian"
9,"ElasticNet","brier_score",0.0974634457729789,"australian"
10,"ElasticNet","auc",0.973504273504273,"australian"
10,"ElasticNet","acc",0.927536231884058,"australian"
10,"ElasticNet","brier_score",0.0678643718602821,"australian"
