"fold","method","metric","val","dataset"
1,"GBM","auc",0.963025210084034,"australian"
1,"GBM","acc",0.898550724637681,"australian"
1,"GBM","brier_score",0.0797422706053041,"australian"
2,"GBM","auc",0.966044142614601,"australian"
2,"GBM","acc",0.869565217391304,"australian"
2,"GBM","brier_score",0.0762349697280206,"australian"
3,"GBM","auc",0.961344537815126,"australian"
3,"GBM","acc",0.884057971014493,"australian"
3,"GBM","brier_score",0.0772163709456628,"australian"
4,"GBM","auc",0.940878378378378,"australian"
4,"GBM","acc",0.869565217391304,"australian"
4,"GBM","brier_score",0.0857754089421937,"australian"
5,"GBM","auc",0.912962962962963,"australian"
5,"GBM","acc",0.840579710144927,"australian"
5,"GBM","brier_score",0.117127815831937,"australian"
6,"GBM","auc",0.885344827586207,"australian"
6,"GBM","acc",0.782608695652174,"australian"
6,"GBM","brier_score",0.151865820438531,"australian"
7,"GBM","auc",0.975506756756757,"australian"
7,"GBM","acc",0.898550724637681,"australian"
7,"GBM","brier_score",0.0671673535328045,"australian"
8,"GBM","auc",0.936974789915966,"australian"
8,"GBM","acc",0.840579710144927,"australian"
8,"GBM","brier_score",0.0935484929367041,"australian"
9,"GBM","auc",0.920634920634921,"australian"
9,"GBM","acc",0.855072463768116,"australian"
9,"GBM","brier_score",0.095825785316719,"australian"
10,"GBM","auc",0.969230769230769,"australian"
10,"GBM","acc",0.898550724637681,"australian"
10,"GBM","brier_score",0.0684712276635247,"australian"
