"fold","method","metric","val","dataset"
1,"Lasso","auc",0.918067226890756,"australian"
1,"Lasso","acc",0.797101449275362,"australian"
1,"Lasso","brier_score",0.12636545726054,"australian"
2,"Lasso","auc",0.950764006791171,"australian"
2,"Lasso","acc",0.884057971014493,"australian"
2,"Lasso","brier_score",0.0871040631373869,"australian"
3,"Lasso","auc",0.960504201680672,"australian"
3,"Lasso","acc",0.869565217391304,"australian"
3,"Lasso","brier_score",0.0895233691831818,"australian"
4,"Lasso","auc",0.947635135135135,"australian"
4,"Lasso","acc",0.855072463768116,"australian"
4,"Lasso","brier_score",0.106423132713144,"australian"
5,"Lasso","auc",0.896296296296296,"australian"
5,"Lasso","acc",0.826086956521739,"australian"
5,"Lasso","brier_score",0.13324891863801,"australian"
6,"Lasso","auc",0.843103448275862,"australian"
6,"Lasso","acc",0.782608695652174,"australian"
6,"Lasso","brier_score",0.162395853201805,"australian"
7,"Lasso","auc",0.944256756756757,"australian"
7,"Lasso","acc",0.898550724637681,"australian"
7,"Lasso","brier_score",0.0853540221738007,"australian"
8,"Lasso","auc",0.92436974789916,"australian"
8,"Lasso","acc",0.884057971014493,"australian"
8,"Lasso","brier_score",0.102618803636625,"australian"
9,"Lasso","auc",0.934744268077601,"australian"
9,"Lasso","acc",0.869565217391304,"australian"
9,"Lasso","brier_score",0.0968907431239882,"australian"
10,"Lasso","auc",0.974358974358974,"australian"
10,"Lasso","acc",0.927536231884058,"australian"
10,"Lasso","brier_score",0.0673052208089959,"australian"
