"fold","method","metric","val","dataset"
1,"Ridge","auc",0.922689075630252,"australian"
1,"Ridge","acc",0.797101449275362,"australian"
1,"Ridge","brier_score",0.12227403721513,"australian"
2,"Ridge","auc",0.955008488964346,"australian"
2,"Ridge","acc",0.884057971014493,"australian"
2,"Ridge","brier_score",0.0877940825631521,"australian"
3,"Ridge","auc",0.961344537815126,"australian"
3,"Ridge","acc",0.869565217391304,"australian"
3,"Ridge","brier_score",0.0887776507488834,"australian"
4,"Ridge","auc",0.94847972972973,"australian"
4,"Ridge","acc",0.855072463768116,"australian"
4,"Ridge","brier_score",0.106451754183661,"australian"
5,"Ridge","auc",0.896296296296296,"australian"
5,"Ridge","acc",0.826086956521739,"australian"
5,"Ridge","brier_score",0.134905596003276,"australian"
6,"Ridge","auc",0.845689655172414,"australian"
6,"Ridge","acc",0.768115942028985,"australian"
6,"Ridge","brier_score",0.159980752907104,"australian"
7,"Ridge","auc",0.949324324324324,"australian"
7,"Ridge","acc",0.898550724637681,"australian"
7,"Ridge","brier_score",0.0867274488013769,"australian"
8,"Ridge","auc",0.925210084033613,"australian"
8,"Ridge","acc",0.884057971014493,"australian"
8,"Ridge","brier_score",0.105930007318732,"australian"
9,"Ridge","auc",0.937389770723104,"australian"
9,"Ridge","acc",0.884057971014493,"australian"
9,"Ridge","brier_score",0.0990965449586738,"australian"
10,"Ridge","auc",0.973504273504273,"australian"
10,"Ridge","acc",0.927536231884058,"australian"
10,"Ridge","brier_score",0.0676223364014817,"australian"
