"fold","method","metric","val","dataset"
1,"glm","auc",0.921848739495798,"australian"
1,"glm","acc",0.855072463768116,"australian"
1,"glm","brier_score",0.113668991824845,"australian"
2,"glm","auc",0.925297113752122,"australian"
2,"glm","acc",0.884057971014493,"australian"
2,"glm","brier_score",0.0955425105024952,"australian"
3,"glm","auc",0.963025210084034,"australian"
3,"glm","acc",0.898550724637681,"australian"
3,"glm","brier_score",0.0780933035375718,"australian"
4,"glm","auc",0.942567567567568,"australian"
4,"glm","acc",0.884057971014493,"australian"
4,"glm","brier_score",0.0921468661778519,"australian"
5,"glm","auc",0.896296296296296,"australian"
5,"glm","acc",0.811594202898551,"australian"
5,"glm","brier_score",0.130487504236417,"australian"
6,"glm","auc",0.851724137931035,"australian"
6,"glm","acc",0.768115942028985,"australian"
6,"glm","brier_score",0.1554092566777,"australian"
7,"glm","auc",0.945945945945946,"australian"
7,"glm","acc",0.884057971014493,"australian"
7,"glm","brier_score",0.0882620190221269,"australian"
8,"glm","auc",0.93781512605042,"australian"
8,"glm","acc",0.826086956521739,"australian"
8,"glm","brier_score",0.102240231489965,"australian"
9,"glm","auc",0.932980599647266,"australian"
9,"glm","acc",0.855072463768116,"australian"
9,"glm","brier_score",0.0893267558316778,"australian"
10,"glm","auc",0.976923076923077,"australian"
10,"glm","acc",0.927536231884058,"australian"
10,"glm","brier_score",0.0608507670752752,"australian"
