"fold","method","metric","val","dataset"
1,"rf","auc",0.930672268907563,"australian"
1,"rf","acc",0.840579710144927,"australian"
1,"rf","brier_score",0.103454724637681,"australian"
2,"rf","auc",0.974533106960951,"australian"
2,"rf","acc",0.898550724637681,"australian"
2,"rf","brier_score",0.0723470724637681,"australian"
3,"rf","auc",0.958823529411765,"australian"
3,"rf","acc",0.898550724637681,"australian"
3,"rf","brier_score",0.0756099710144928,"australian"
4,"rf","auc",0.947635135135135,"australian"
4,"rf","acc",0.898550724637681,"australian"
4,"rf","brier_score",0.0898633043478261,"australian"
5,"rf","auc",0.912037037037037,"australian"
5,"rf","acc",0.811594202898551,"australian"
5,"rf","brier_score",0.116861449275362,"australian"
6,"rf","auc",0.848275862068966,"australian"
6,"rf","acc",0.797101449275362,"australian"
6,"rf","brier_score",0.157750956521739,"australian"
7,"rf","auc",0.972972972972973,"australian"
7,"rf","acc",0.884057971014493,"australian"
7,"rf","brier_score",0.0760700869565217,"australian"
8,"rf","auc",0.922689075630252,"australian"
8,"rf","acc",0.855072463768116,"australian"
8,"rf","brier_score",0.105446898550725,"australian"
9,"rf","auc",0.931216931216931,"australian"
9,"rf","acc",0.869565217391304,"australian"
9,"rf","brier_score",0.0926271304347826,"australian"
10,"rf","auc",0.967948717948718,"australian"
10,"rf","acc",0.91304347826087,"australian"
10,"rf","brier_score",0.0724017971014493,"australian"
