"fold","method","metric","val","dataset"
1,"Boosted Stumps","auc",0.99952741020794,"banknote"
1,"Boosted Stumps","acc",0.992753623188406,"banknote"
1,"Boosted Stumps","brier_score",0.0153707840377413,"banknote"
2,"Boosted Stumps","auc",0.999788851351351,"banknote"
2,"Boosted Stumps","acc",0.992753623188406,"banknote"
2,"Boosted Stumps","brier_score",0.0118129551278069,"banknote"
3,"Boosted Stumps","auc",1,"banknote"
3,"Boosted Stumps","acc",0.992700729927007,"banknote"
3,"Boosted Stumps","brier_score",0.0112405125210587,"banknote"
4,"Boosted Stumps","auc",1,"banknote"
4,"Boosted Stumps","acc",1,"banknote"
4,"Boosted Stumps","brier_score",0.0100246563042409,"banknote"
5,"Boosted Stumps","auc",1,"banknote"
5,"Boosted Stumps","acc",0.992700729927007,"banknote"
5,"Boosted Stumps","brier_score",0.00831198426852939,"banknote"
6,"Boosted Stumps","auc",0.999550763701707,"banknote"
6,"Boosted Stumps","acc",0.992700729927007,"banknote"
6,"Boosted Stumps","brier_score",0.0127283393246285,"banknote"
7,"Boosted Stumps","auc",0.9995670995671,"banknote"
7,"Boosted Stumps","acc",0.992700729927007,"banknote"
7,"Boosted Stumps","brier_score",0.0146690261089671,"banknote"
8,"Boosted Stumps","auc",1,"banknote"
8,"Boosted Stumps","acc",1,"banknote"
8,"Boosted Stumps","brier_score",0.00753646697127967,"banknote"
9,"Boosted Stumps","auc",0.998684210526316,"banknote"
9,"Boosted Stumps","acc",0.992700729927007,"banknote"
9,"Boosted Stumps","brier_score",0.0141032479257252,"banknote"
10,"Boosted Stumps","auc",1,"banknote"
10,"Boosted Stumps","acc",1,"banknote"
10,"Boosted Stumps","brier_score",0.00620618714443528,"banknote"
