"fold","method","metric","val","dataset"
1,"CART","auc",0.961129489603025,"banknote"
1,"CART","acc",0.949275362318841,"banknote"
1,"CART","brier_score",0.0459853348100546,"banknote"
2,"CART","auc",0.980046452702703,"banknote"
2,"CART","acc",0.978260869565217,"banknote"
2,"CART","brier_score",0.020522724762135,"banknote"
3,"CART","auc",0.980982905982906,"banknote"
3,"CART","acc",0.970802919708029,"banknote"
3,"CART","brier_score",0.0284522300511255,"banknote"
4,"CART","auc",0.948290598290598,"banknote"
4,"CART","acc",0.956204379562044,"banknote"
4,"CART","brier_score",0.0423399306850794,"banknote"
5,"CART","auc",0.997587719298246,"banknote"
5,"CART","acc",0.992700729927007,"banknote"
5,"CART","brier_score",0.00760540635638939,"banknote"
6,"CART","auc",0.990004492362983,"banknote"
6,"CART","acc",0.985401459854015,"banknote"
6,"CART","brier_score",0.0136622948259812,"banknote"
7,"CART","auc",0.959415584415584,"banknote"
7,"CART","acc",0.934306569343066,"banknote"
7,"CART","brier_score",0.058946835278392,"banknote"
8,"CART","auc",0.974647266313933,"banknote"
8,"CART","acc",0.956204379562044,"banknote"
8,"CART","brier_score",0.0383662518855339,"banknote"
9,"CART","auc",0.972258771929825,"banknote"
9,"CART","acc",0.963503649635037,"banknote"
9,"CART","brier_score",0.0341474410104239,"banknote"
10,"CART","auc",0.992430703624734,"banknote"
10,"CART","acc",0.963503649635037,"banknote"
10,"CART","brier_score",0.0334656995104201,"banknote"
