"fold","method","metric","val","dataset"
1,"ElasticNet","auc",1,"banknote"
1,"ElasticNet","acc",0.942028985507246,"banknote"
1,"ElasticNet","brier_score",0.0456920659503658,"banknote"
2,"ElasticNet","auc",1,"banknote"
2,"ElasticNet","acc",0.978260869565217,"banknote"
2,"ElasticNet","brier_score",0.0292691708189312,"banknote"
3,"ElasticNet","auc",1,"banknote"
3,"ElasticNet","acc",1,"banknote"
3,"ElasticNet","brier_score",0.0278922968943573,"banknote"
4,"ElasticNet","auc",1,"banknote"
4,"ElasticNet","acc",0.970802919708029,"banknote"
4,"ElasticNet","brier_score",0.029389808650912,"banknote"
5,"ElasticNet","auc",0.999780701754386,"banknote"
5,"ElasticNet","acc",0.985401459854015,"banknote"
5,"ElasticNet","brier_score",0.0301066926208019,"banknote"
6,"ElasticNet","auc",0.999326145552561,"banknote"
6,"ElasticNet","acc",0.985401459854015,"banknote"
6,"ElasticNet","brier_score",0.0323339915405605,"banknote"
7,"ElasticNet","auc",1,"banknote"
7,"ElasticNet","acc",0.963503649635037,"banknote"
7,"ElasticNet","brier_score",0.0396830298855706,"banknote"
8,"ElasticNet","auc",0.999559082892416,"banknote"
8,"ElasticNet","acc",0.978102189781022,"banknote"
8,"ElasticNet","brier_score",0.033539170229877,"banknote"
9,"ElasticNet","auc",1,"banknote"
9,"ElasticNet","acc",0.963503649635037,"banknote"
9,"ElasticNet","brier_score",0.0393060962585467,"banknote"
10,"ElasticNet","auc",0.999786780383795,"banknote"
10,"ElasticNet","acc",0.985401459854015,"banknote"
10,"ElasticNet","brier_score",0.0299901896380731,"banknote"
