"fold","method","metric","val","dataset"
1,"GBM","auc",0.999054820415879,"banknote"
1,"GBM","acc",0.992753623188406,"banknote"
1,"GBM","brier_score",0.0165540509466603,"banknote"
2,"GBM","auc",0.998944256756757,"banknote"
2,"GBM","acc",0.978260869565217,"banknote"
2,"GBM","brier_score",0.0134035092982245,"banknote"
3,"GBM","auc",0.999786324786325,"banknote"
3,"GBM","acc",0.985401459854015,"banknote"
3,"GBM","brier_score",0.0133747121479577,"banknote"
4,"GBM","auc",0.999358974358974,"banknote"
4,"GBM","acc",0.992700729927007,"banknote"
4,"GBM","brier_score",0.0101889455118491,"banknote"
5,"GBM","auc",0.999561403508772,"banknote"
5,"GBM","acc",0.992700729927007,"banknote"
5,"GBM","brier_score",0.00885123619628326,"banknote"
6,"GBM","auc",0.999550763701707,"banknote"
6,"GBM","acc",0.985401459854015,"banknote"
6,"GBM","brier_score",0.0108596335307152,"banknote"
7,"GBM","auc",0.9995670995671,"banknote"
7,"GBM","acc",0.985401459854015,"banknote"
7,"GBM","brier_score",0.0106227300272689,"banknote"
8,"GBM","auc",0.999559082892416,"banknote"
8,"GBM","acc",0.992700729927007,"banknote"
8,"GBM","brier_score",0.0101531052157953,"banknote"
9,"GBM","auc",1,"banknote"
9,"GBM","acc",0.992700729927007,"banknote"
9,"GBM","brier_score",0.00994934485339639,"banknote"
10,"GBM","auc",1,"banknote"
10,"GBM","acc",0.992700729927007,"banknote"
10,"GBM","brier_score",0.00594469380197452,"banknote"
