"fold","method","metric","val","dataset"
1,"Lasso","auc",1,"banknote"
1,"Lasso","acc",0.942028985507246,"banknote"
1,"Lasso","brier_score",0.0456780633892635,"banknote"
2,"Lasso","auc",1,"banknote"
2,"Lasso","acc",0.978260869565217,"banknote"
2,"Lasso","brier_score",0.0292685712084016,"banknote"
3,"Lasso","auc",1,"banknote"
3,"Lasso","acc",1,"banknote"
3,"Lasso","brier_score",0.0279323794875262,"banknote"
4,"Lasso","auc",1,"banknote"
4,"Lasso","acc",0.970802919708029,"banknote"
4,"Lasso","brier_score",0.0293039102538944,"banknote"
5,"Lasso","auc",0.999561403508772,"banknote"
5,"Lasso","acc",0.985401459854015,"banknote"
5,"Lasso","brier_score",0.0301148871548121,"banknote"
6,"Lasso","auc",0.999326145552561,"banknote"
6,"Lasso","acc",0.985401459854015,"banknote"
6,"Lasso","brier_score",0.0322975097275692,"banknote"
7,"Lasso","auc",1,"banknote"
7,"Lasso","acc",0.963503649635037,"banknote"
7,"Lasso","brier_score",0.0396282370268529,"banknote"
8,"Lasso","auc",0.999559082892416,"banknote"
8,"Lasso","acc",0.978102189781022,"banknote"
8,"Lasso","brier_score",0.0335130274392554,"banknote"
9,"Lasso","auc",1,"banknote"
9,"Lasso","acc",0.963503649635037,"banknote"
9,"Lasso","brier_score",0.0392951862031939,"banknote"
10,"Lasso","auc",0.999786780383795,"banknote"
10,"Lasso","acc",0.985401459854015,"banknote"
10,"Lasso","brier_score",0.0300103906755911,"banknote"
