"fold","method","metric","val","dataset"
1,"Ridge","auc",0.99952741020794,"banknote"
1,"Ridge","acc",0.949275362318841,"banknote"
1,"Ridge","brier_score",0.0501328589964128,"banknote"
2,"Ridge","auc",0.999366554054054,"banknote"
2,"Ridge","acc",0.978260869565217,"banknote"
2,"Ridge","brier_score",0.0360043988243727,"banknote"
3,"Ridge","auc",1,"banknote"
3,"Ridge","acc",0.992700729927007,"banknote"
3,"Ridge","brier_score",0.0370724766774331,"banknote"
4,"Ridge","auc",1,"banknote"
4,"Ridge","acc",0.970802919708029,"banknote"
4,"Ridge","brier_score",0.0404659350329182,"banknote"
5,"Ridge","auc",1,"banknote"
5,"Ridge","acc",0.985401459854015,"banknote"
5,"Ridge","brier_score",0.0370039987772442,"banknote"
6,"Ridge","auc",0.999775381850854,"banknote"
6,"Ridge","acc",0.992700729927007,"banknote"
6,"Ridge","brier_score",0.0389304291344665,"banknote"
7,"Ridge","auc",1,"banknote"
7,"Ridge","acc",0.978102189781022,"banknote"
7,"Ridge","brier_score",0.0457343396595361,"banknote"
8,"Ridge","auc",1,"banknote"
8,"Ridge","acc",0.978102189781022,"banknote"
8,"Ridge","brier_score",0.0398694190251209,"banknote"
9,"Ridge","auc",0.999561403508772,"banknote"
9,"Ridge","acc",0.963503649635037,"banknote"
9,"Ridge","brier_score",0.044148282579945,"banknote"
10,"Ridge","auc",0.999360341151386,"banknote"
10,"Ridge","acc",0.985401459854015,"banknote"
10,"Ridge","brier_score",0.0377152672360943,"banknote"
