"fold","method","metric","val","dataset"
1,"glm","auc",0.99952741020794,"banknote"
1,"glm","acc",0.956521739130435,"banknote"
1,"glm","brier_score",0.0290157297816329,"banknote"
2,"glm","auc",1,"banknote"
2,"glm","acc",1,"banknote"
2,"glm","brier_score",0.00106115262645942,"banknote"
3,"glm","auc",1,"banknote"
3,"glm","acc",0.978102189781022,"banknote"
3,"glm","brier_score",0.0178423993265767,"banknote"
4,"glm","auc",1,"banknote"
4,"glm","acc",1,"banknote"
4,"glm","brier_score",0.000185671933611934,"banknote"
5,"glm","auc",1,"banknote"
5,"glm","acc",0.992700729927007,"banknote"
5,"glm","brier_score",0.00470465993249795,"banknote"
6,"glm","auc",0.999550763701707,"banknote"
6,"glm","acc",0.978102189781022,"banknote"
6,"glm","brier_score",0.0165917742993061,"banknote"
7,"glm","auc",1,"banknote"
7,"glm","acc",0.992700729927007,"banknote"
7,"glm","brier_score",0.004664084864675,"banknote"
8,"glm","auc",1,"banknote"
8,"glm","acc",0.992700729927007,"banknote"
8,"glm","brier_score",0.00505047783015009,"banknote"
9,"glm","auc",0.999780701754386,"banknote"
9,"glm","acc",0.985401459854015,"banknote"
9,"glm","brier_score",0.00773180144729362,"banknote"
10,"glm","auc",0.999786780383795,"banknote"
10,"glm","acc",0.992700729927007,"banknote"
10,"glm","brier_score",0.00639240429851463,"banknote"
