"fold","method","metric","val","dataset"
1,"rf","auc",1,"banknote"
1,"rf","acc",0.992753623188406,"banknote"
1,"rf","brier_score",0.00487831884057971,"banknote"
2,"rf","auc",0.999577702702703,"banknote"
2,"rf","acc",0.978260869565217,"banknote"
2,"rf","brier_score",0.0103312753623188,"banknote"
3,"rf","auc",0.999358974358974,"banknote"
3,"rf","acc",0.992700729927007,"banknote"
3,"rf","brier_score",0.00884694890510949,"banknote"
4,"rf","auc",1,"banknote"
4,"rf","acc",0.992700729927007,"banknote"
4,"rf","brier_score",0.00413194160583942,"banknote"
5,"rf","auc",1,"banknote"
5,"rf","acc",0.992700729927007,"banknote"
5,"rf","brier_score",0.00461728467153285,"banknote"
6,"rf","auc",1,"banknote"
6,"rf","acc",0.992700729927007,"banknote"
6,"rf","brier_score",0.00619766423357664,"banknote"
7,"rf","auc",1,"banknote"
7,"rf","acc",1,"banknote"
7,"rf","brier_score",0.0033825401459854,"banknote"
8,"rf","auc",1,"banknote"
8,"rf","acc",0.985401459854015,"banknote"
8,"rf","brier_score",0.00711497810218978,"banknote"
9,"rf","auc",1,"banknote"
9,"rf","acc",1,"banknote"
9,"rf","brier_score",0.00421754744525547,"banknote"
10,"rf","auc",1,"banknote"
10,"rf","acc",1,"banknote"
10,"rf","brier_score",0.00191702189781022,"banknote"
