"fold","method","metric","val","dataset"
1,"Boosted Stumps","auc",0.958724202626642,"biodeg"
1,"Boosted Stumps","acc",0.924528301886792,"biodeg"
1,"Boosted Stumps","brier_score",0.0730296960971098,"biodeg"
2,"Boosted Stumps","auc",0.907317073170732,"biodeg"
2,"Boosted Stumps","acc",0.839622641509434,"biodeg"
2,"Boosted Stumps","brier_score",0.125553816256956,"biodeg"
3,"Boosted Stumps","auc",0.945634920634921,"biodeg"
3,"Boosted Stumps","acc",0.915094339622642,"biodeg"
3,"Boosted Stumps","brier_score",0.0793253752611515,"biodeg"
4,"Boosted Stumps","auc",0.928571428571429,"biodeg"
4,"Boosted Stumps","acc",0.858490566037736,"biodeg"
4,"Boosted Stumps","brier_score",0.0965942216777508,"biodeg"
5,"Boosted Stumps","auc",0.88531746031746,"biodeg"
5,"Boosted Stumps","acc",0.830188679245283,"biodeg"
5,"Boosted Stumps","brier_score",0.123410849535836,"biodeg"
6,"Boosted Stumps","auc",0.897122929380994,"biodeg"
6,"Boosted Stumps","acc",0.838095238095238,"biodeg"
6,"Boosted Stumps","brier_score",0.123209832480258,"biodeg"
7,"Boosted Stumps","auc",0.947253705318222,"biodeg"
7,"Boosted Stumps","acc",0.857142857142857,"biodeg"
7,"Boosted Stumps","brier_score",0.0917654975761745,"biodeg"
8,"Boosted Stumps","auc",0.917551020408163,"biodeg"
8,"Boosted Stumps","acc",0.857142857142857,"biodeg"
8,"Boosted Stumps","brier_score",0.0981571860753093,"biodeg"
9,"Boosted Stumps","auc",0.919713831478537,"biodeg"
9,"Boosted Stumps","acc",0.885714285714286,"biodeg"
9,"Boosted Stumps","brier_score",0.10027347622048,"biodeg"
10,"Boosted Stumps","auc",0.951198630136986,"biodeg"
10,"Boosted Stumps","acc",0.895238095238095,"biodeg"
10,"Boosted Stumps","brier_score",0.0831873070953161,"biodeg"
