"fold","method","metric","val","dataset"
1,"CART","auc",0.869418386491557,"biodeg"
1,"CART","acc",0.820754716981132,"biodeg"
1,"CART","brier_score",0.139194738837528,"biodeg"
2,"CART","auc",0.781238273921201,"biodeg"
2,"CART","acc",0.745283018867924,"biodeg"
2,"CART","brier_score",0.199386802244189,"biodeg"
3,"CART","auc",0.914880952380952,"biodeg"
3,"CART","acc",0.858490566037736,"biodeg"
3,"CART","brier_score",0.110512456532508,"biodeg"
4,"CART","auc",0.851587301587302,"biodeg"
4,"CART","acc",0.839622641509434,"biodeg"
4,"CART","brier_score",0.131194122960916,"biodeg"
5,"CART","auc",0.813095238095238,"biodeg"
5,"CART","acc",0.830188679245283,"biodeg"
5,"CART","brier_score",0.14684561970273,"biodeg"
6,"CART","auc",0.831734960767219,"biodeg"
6,"CART","acc",0.819047619047619,"biodeg"
6,"CART","brier_score",0.147723643636373,"biodeg"
7,"CART","auc",0.886006974716652,"biodeg"
7,"CART","acc",0.838095238095238,"biodeg"
7,"CART","brier_score",0.116462932249881,"biodeg"
8,"CART","auc",0.81265306122449,"biodeg"
8,"CART","acc",0.8,"biodeg"
8,"CART","brier_score",0.163012565456353,"biodeg"
9,"CART","auc",0.851550079491256,"biodeg"
9,"CART","acc",0.828571428571429,"biodeg"
9,"CART","brier_score",0.137314794731494,"biodeg"
10,"CART","auc",0.861729452054795,"biodeg"
10,"CART","acc",0.857142857142857,"biodeg"
10,"CART","brier_score",0.115973691606906,"biodeg"
