"fold","method","metric","val","dataset"
1,"ElasticNet","auc",0.960225140712946,"biodeg"
1,"ElasticNet","acc",0.915094339622642,"biodeg"
1,"ElasticNet","brier_score",0.105895421528204,"biodeg"
2,"ElasticNet","auc",0.913320825515948,"biodeg"
2,"ElasticNet","acc",0.858490566037736,"biodeg"
2,"ElasticNet","brier_score",0.131758548531118,"biodeg"
3,"ElasticNet","auc",0.93531746031746,"biodeg"
3,"ElasticNet","acc",0.877358490566038,"biodeg"
3,"ElasticNet","brier_score",0.111373826199763,"biodeg"
4,"ElasticNet","auc",0.900793650793651,"biodeg"
4,"ElasticNet","acc",0.839622641509434,"biodeg"
4,"ElasticNet","brier_score",0.133219911670227,"biodeg"
5,"ElasticNet","auc",0.898412698412698,"biodeg"
5,"ElasticNet","acc",0.811320754716981,"biodeg"
5,"ElasticNet","brier_score",0.129575800908719,"biodeg"
6,"ElasticNet","auc",0.89537925021796,"biodeg"
6,"ElasticNet","acc",0.847619047619048,"biodeg"
6,"ElasticNet","brier_score",0.129330206177457,"biodeg"
7,"ElasticNet","auc",0.928073234524847,"biodeg"
7,"ElasticNet","acc",0.895238095238095,"biodeg"
7,"ElasticNet","brier_score",0.110266514916029,"biodeg"
8,"ElasticNet","auc",0.900408163265306,"biodeg"
8,"ElasticNet","acc",0.847619047619048,"biodeg"
8,"ElasticNet","brier_score",0.131574793748406,"biodeg"
9,"ElasticNet","auc",0.8879173290938,"biodeg"
9,"ElasticNet","acc",0.838095238095238,"biodeg"
9,"ElasticNet","brier_score",0.137354899503123,"biodeg"
10,"ElasticNet","auc",0.95291095890411,"biodeg"
10,"ElasticNet","acc",0.876190476190476,"biodeg"
10,"ElasticNet","brier_score",0.105149729093451,"biodeg"
