"fold","method","metric","val","dataset"
1,"GBM","auc",0.967729831144465,"biodeg"
1,"GBM","acc",0.915094339622642,"biodeg"
1,"GBM","brier_score",0.0695712422944446,"biodeg"
2,"GBM","auc",0.900187617260788,"biodeg"
2,"GBM","acc",0.820754716981132,"biodeg"
2,"GBM","brier_score",0.137983070227331,"biodeg"
3,"GBM","auc",0.950396825396825,"biodeg"
3,"GBM","acc",0.886792452830189,"biodeg"
3,"GBM","brier_score",0.0826390035330358,"biodeg"
4,"GBM","auc",0.944444444444444,"biodeg"
4,"GBM","acc",0.867924528301887,"biodeg"
4,"GBM","brier_score",0.0898292949378505,"biodeg"
5,"GBM","auc",0.890079365079365,"biodeg"
5,"GBM","acc",0.830188679245283,"biodeg"
5,"GBM","brier_score",0.11836427784985,"biodeg"
6,"GBM","auc",0.909328683522232,"biodeg"
6,"GBM","acc",0.857142857142857,"biodeg"
6,"GBM","brier_score",0.113025476081045,"biodeg"
7,"GBM","auc",0.95335658238884,"biodeg"
7,"GBM","acc",0.876190476190476,"biodeg"
7,"GBM","brier_score",0.0846337853114801,"biodeg"
8,"GBM","auc",0.901632653061224,"biodeg"
8,"GBM","acc",0.857142857142857,"biodeg"
8,"GBM","brier_score",0.103167911315344,"biodeg"
9,"GBM","auc",0.902623211446741,"biodeg"
9,"GBM","acc",0.866666666666667,"biodeg"
9,"GBM","brier_score",0.106691307021702,"biodeg"
10,"GBM","auc",0.936643835616438,"biodeg"
10,"GBM","acc",0.885714285714286,"biodeg"
10,"GBM","brier_score",0.0945308271573583,"biodeg"
