"fold","method","metric","val","dataset"
1,"Ridge","auc",0.968105065666041,"biodeg"
1,"Ridge","acc",0.89622641509434,"biodeg"
1,"Ridge","brier_score",0.10806172820791,"biodeg"
2,"Ridge","auc",0.908067542213884,"biodeg"
2,"Ridge","acc",0.839622641509434,"biodeg"
2,"Ridge","brier_score",0.13215161084007,"biodeg"
3,"Ridge","auc",0.929365079365079,"biodeg"
3,"Ridge","acc",0.867924528301887,"biodeg"
3,"Ridge","brier_score",0.114073841164285,"biodeg"
4,"Ridge","auc",0.898809523809524,"biodeg"
4,"Ridge","acc",0.820754716981132,"biodeg"
4,"Ridge","brier_score",0.133004802082271,"biodeg"
5,"Ridge","auc",0.897222222222222,"biodeg"
5,"Ridge","acc",0.830188679245283,"biodeg"
5,"Ridge","brier_score",0.131040089556542,"biodeg"
6,"Ridge","auc",0.902789886660854,"biodeg"
6,"Ridge","acc",0.857142857142857,"biodeg"
6,"Ridge","brier_score",0.13227898699222,"biodeg"
7,"Ridge","auc",0.934176111595466,"biodeg"
7,"Ridge","acc",0.876190476190476,"biodeg"
7,"Ridge","brier_score",0.111175700703416,"biodeg"
8,"Ridge","auc",0.901224489795918,"biodeg"
8,"Ridge","acc",0.876190476190476,"biodeg"
8,"Ridge","brier_score",0.144771739585639,"biodeg"
9,"Ridge","auc",0.877186009538951,"biodeg"
9,"Ridge","acc",0.819047619047619,"biodeg"
9,"Ridge","brier_score",0.141949176100717,"biodeg"
10,"Ridge","auc",0.943921232876712,"biodeg"
10,"Ridge","acc",0.876190476190476,"biodeg"
10,"Ridge","brier_score",0.108605954686421,"biodeg"
