"fold","method","metric","val","dataset"
1,"glm","auc",0.945966228893058,"biodeg"
1,"glm","acc",0.924528301886792,"biodeg"
1,"glm","brier_score",0.0778317596921305,"biodeg"
2,"glm","auc",0.903564727954972,"biodeg"
2,"glm","acc",0.839622641509434,"biodeg"
2,"glm","brier_score",0.124361386246824,"biodeg"
3,"glm","auc",0.938095238095238,"biodeg"
3,"glm","acc",0.905660377358491,"biodeg"
3,"glm","brier_score",0.0756094889024194,"biodeg"
4,"glm","auc",0.933333333333333,"biodeg"
4,"glm","acc",0.877358490566038,"biodeg"
4,"glm","brier_score",0.0933774127551668,"biodeg"
5,"glm","auc",0.910515873015873,"biodeg"
5,"glm","acc",0.858490566037736,"biodeg"
5,"glm","brier_score",0.105170519240731,"biodeg"
6,"glm","auc",0.906277244986922,"biodeg"
6,"glm","acc",0.857142857142857,"biodeg"
6,"glm","brier_score",0.113581455802318,"biodeg"
7,"glm","auc",0.937227550130776,"biodeg"
7,"glm","acc",0.866666666666667,"biodeg"
7,"glm","brier_score",0.0871049841550119,"biodeg"
8,"glm","auc",0.906122448979592,"biodeg"
8,"glm","acc",0.847619047619048,"biodeg"
8,"glm","brier_score",0.118245106245314,"biodeg"
9,"glm","auc",0.906995230524642,"biodeg"
9,"glm","acc",0.828571428571429,"biodeg"
9,"glm","brier_score",0.118533162174844,"biodeg"
10,"glm","auc",0.933647260273973,"biodeg"
10,"glm","acc",0.847619047619048,"biodeg"
10,"glm","brier_score",0.100225737491207,"biodeg"
