"fold","method","metric","val","dataset"
1,"rf","auc",0.971106941838649,"biodeg"
1,"rf","acc",0.905660377358491,"biodeg"
1,"rf","brier_score",0.0746841509433962,"biodeg"
2,"rf","auc",0.907317073170732,"biodeg"
2,"rf","acc",0.820754716981132,"biodeg"
2,"rf","brier_score",0.126460679245283,"biodeg"
3,"rf","auc",0.945436507936508,"biodeg"
3,"rf","acc",0.915094339622642,"biodeg"
3,"rf","brier_score",0.0784246037735849,"biodeg"
4,"rf","auc",0.953174603174603,"biodeg"
4,"rf","acc",0.877358490566038,"biodeg"
4,"rf","brier_score",0.0852050188679245,"biodeg"
5,"rf","auc",0.90297619047619,"biodeg"
5,"rf","acc",0.839622641509434,"biodeg"
5,"rf","brier_score",0.110787471698113,"biodeg"
6,"rf","auc",0.948561464690497,"biodeg"
6,"rf","acc",0.857142857142857,"biodeg"
6,"rf","brier_score",0.0943402666666667,"biodeg"
7,"rf","auc",0.957279860505667,"biodeg"
7,"rf","acc",0.885714285714286,"biodeg"
7,"rf","brier_score",0.0797245714285714,"biodeg"
8,"rf","auc",0.917755102040816,"biodeg"
8,"rf","acc",0.857142857142857,"biodeg"
8,"rf","brier_score",0.100289828571429,"biodeg"
9,"rf","auc",0.916931637519873,"biodeg"
9,"rf","acc",0.857142857142857,"biodeg"
9,"rf","brier_score",0.102679771428571,"biodeg"
10,"rf","auc",0.949700342465753,"biodeg"
10,"rf","acc",0.895238095238095,"biodeg"
10,"rf","brier_score",0.0806915428571429,"biodeg"
