"fold","method","metric","val","dataset"
1,"Boosted Stumps","auc",0.6836,"blood_transfusion"
1,"Boosted Stumps","acc",0.733333333333333,"blood_transfusion"
1,"Boosted Stumps","brier_score",0.202238706879663,"blood_transfusion"
2,"Boosted Stumps","auc",0.772417153996101,"blood_transfusion"
2,"Boosted Stumps","acc",0.786666666666667,"blood_transfusion"
2,"Boosted Stumps","brier_score",0.149507232855389,"blood_transfusion"
3,"Boosted Stumps","auc",0.724565756823821,"blood_transfusion"
3,"Boosted Stumps","acc",0.76,"blood_transfusion"
3,"Boosted Stumps","brier_score",0.142207105151617,"blood_transfusion"
4,"Boosted Stumps","auc",0.705882352941177,"blood_transfusion"
4,"Boosted Stumps","acc",0.76,"blood_transfusion"
4,"Boosted Stumps","brier_score",0.197350964027516,"blood_transfusion"
5,"Boosted Stumps","auc",0.817266949152542,"blood_transfusion"
5,"Boosted Stumps","acc",0.813333333333333,"blood_transfusion"
5,"Boosted Stumps","brier_score",0.135116468414291,"blood_transfusion"
6,"Boosted Stumps","auc",0.749512670565302,"blood_transfusion"
6,"Boosted Stumps","acc",0.8,"blood_transfusion"
6,"Boosted Stumps","brier_score",0.14656813736123,"blood_transfusion"
7,"Boosted Stumps","auc",0.655,"blood_transfusion"
7,"Boosted Stumps","acc",0.733333333333333,"blood_transfusion"
7,"Boosted Stumps","brier_score",0.167987424535787,"blood_transfusion"
8,"Boosted Stumps","auc",0.780701754385965,"blood_transfusion"
8,"Boosted Stumps","acc",0.813333333333333,"blood_transfusion"
8,"Boosted Stumps","brier_score",0.146981453474486,"blood_transfusion"
9,"Boosted Stumps","auc",0.71640625,"blood_transfusion"
9,"Boosted Stumps","acc",0.851351351351351,"blood_transfusion"
9,"Boosted Stumps","brier_score",0.122933512288684,"blood_transfusion"
10,"Boosted Stumps","auc",0.775381850853549,"blood_transfusion"
10,"Boosted Stumps","acc",0.824324324324324,"blood_transfusion"
10,"Boosted Stumps","brier_score",0.149042340053499,"blood_transfusion"
