"fold","method","metric","val","dataset"
1,"CART","auc",0.7224,"blood_transfusion"
1,"CART","acc",0.746666666666667,"blood_transfusion"
1,"CART","brier_score",0.190460879769579,"blood_transfusion"
2,"CART","auc",0.743664717348928,"blood_transfusion"
2,"CART","acc",0.786666666666667,"blood_transfusion"
2,"CART","brier_score",0.157513603311893,"blood_transfusion"
3,"CART","auc",0.713399503722084,"blood_transfusion"
3,"CART","acc",0.76,"blood_transfusion"
3,"CART","brier_score",0.154121278110776,"blood_transfusion"
4,"CART","auc",0.662990196078431,"blood_transfusion"
4,"CART","acc",0.72,"blood_transfusion"
4,"CART","brier_score",0.205183723808392,"blood_transfusion"
5,"CART","auc",0.721927966101695,"blood_transfusion"
5,"CART","acc",0.733333333333333,"blood_transfusion"
5,"CART","brier_score",0.16682830800916,"blood_transfusion"
6,"CART","auc",0.792884990253411,"blood_transfusion"
6,"CART","acc",0.826666666666667,"blood_transfusion"
6,"CART","brier_score",0.131799284389236,"blood_transfusion"
7,"CART","auc",0.593333333333333,"blood_transfusion"
7,"CART","acc",0.733333333333333,"blood_transfusion"
7,"CART","brier_score",0.181064898684337,"blood_transfusion"
8,"CART","auc",0.8182261208577,"blood_transfusion"
8,"CART","acc",0.853333333333333,"blood_transfusion"
8,"CART","brier_score",0.121039743010872,"blood_transfusion"
9,"CART","auc",0.66953125,"blood_transfusion"
9,"CART","acc",0.851351351351351,"blood_transfusion"
9,"CART","brier_score",0.125604325576387,"blood_transfusion"
10,"CART","auc",0.778975741239892,"blood_transfusion"
10,"CART","acc",0.824324324324324,"blood_transfusion"
10,"CART","brier_score",0.141035835148124,"blood_transfusion"
