"fold","method","metric","val","dataset"
1,"ElasticNet","auc",0.6996,"blood_transfusion"
1,"ElasticNet","acc",0.693333333333333,"blood_transfusion"
1,"ElasticNet","brier_score",0.19933039877645,"blood_transfusion"
2,"ElasticNet","auc",0.741228070175439,"blood_transfusion"
2,"ElasticNet","acc",0.76,"blood_transfusion"
2,"ElasticNet","brier_score",0.161485169626521,"blood_transfusion"
3,"ElasticNet","auc",0.749379652605459,"blood_transfusion"
3,"ElasticNet","acc",0.813333333333333,"blood_transfusion"
3,"ElasticNet","brier_score",0.135096164708765,"blood_transfusion"
4,"ElasticNet","auc",0.737745098039216,"blood_transfusion"
4,"ElasticNet","acc",0.68,"blood_transfusion"
4,"ElasticNet","brier_score",0.192730261678987,"blood_transfusion"
5,"ElasticNet","auc",0.872351694915254,"blood_transfusion"
5,"ElasticNet","acc",0.813333333333333,"blood_transfusion"
5,"ElasticNet","brier_score",0.138861615116192,"blood_transfusion"
6,"ElasticNet","auc",0.712475633528265,"blood_transfusion"
6,"ElasticNet","acc",0.76,"blood_transfusion"
6,"ElasticNet","brier_score",0.168525661748538,"blood_transfusion"
7,"ElasticNet","auc",0.646111111111111,"blood_transfusion"
7,"ElasticNet","acc",0.813333333333333,"blood_transfusion"
7,"ElasticNet","brier_score",0.155381586425872,"blood_transfusion"
8,"ElasticNet","auc",0.80458089668616,"blood_transfusion"
8,"ElasticNet","acc",0.773333333333333,"blood_transfusion"
8,"ElasticNet","brier_score",0.153521030457438,"blood_transfusion"
9,"ElasticNet","auc",0.76015625,"blood_transfusion"
9,"ElasticNet","acc",0.851351351351351,"blood_transfusion"
9,"ElasticNet","brier_score",0.124826681026065,"blood_transfusion"
10,"ElasticNet","auc",0.787061994609164,"blood_transfusion"
10,"ElasticNet","acc",0.756756756756757,"blood_transfusion"
10,"ElasticNet","brier_score",0.162312915899804,"blood_transfusion"
