"fold","method","metric","val","dataset"
1,"GBM","auc",0.6796,"blood_transfusion"
1,"GBM","acc",0.746666666666667,"blood_transfusion"
1,"GBM","brier_score",0.20041179936459,"blood_transfusion"
2,"GBM","auc",0.765594541910331,"blood_transfusion"
2,"GBM","acc",0.8,"blood_transfusion"
2,"GBM","brier_score",0.147233635293103,"blood_transfusion"
3,"GBM","auc",0.69727047146402,"blood_transfusion"
3,"GBM","acc",0.773333333333333,"blood_transfusion"
3,"GBM","brier_score",0.149186333294137,"blood_transfusion"
4,"GBM","auc",0.714052287581699,"blood_transfusion"
4,"GBM","acc",0.76,"blood_transfusion"
4,"GBM","brier_score",0.193602633238519,"blood_transfusion"
5,"GBM","auc",0.806673728813559,"blood_transfusion"
5,"GBM","acc",0.8,"blood_transfusion"
5,"GBM","brier_score",0.142862112063548,"blood_transfusion"
6,"GBM","auc",0.753411306042885,"blood_transfusion"
6,"GBM","acc",0.8,"blood_transfusion"
6,"GBM","brier_score",0.141860485743337,"blood_transfusion"
7,"GBM","auc",0.631666666666667,"blood_transfusion"
7,"GBM","acc",0.72,"blood_transfusion"
7,"GBM","brier_score",0.178990421863096,"blood_transfusion"
8,"GBM","auc",0.807992202729045,"blood_transfusion"
8,"GBM","acc",0.813333333333333,"blood_transfusion"
8,"GBM","brier_score",0.139335645167353,"blood_transfusion"
9,"GBM","auc",0.71484375,"blood_transfusion"
9,"GBM","acc",0.851351351351351,"blood_transfusion"
9,"GBM","brier_score",0.119526419616813,"blood_transfusion"
10,"GBM","auc",0.790655884995508,"blood_transfusion"
10,"GBM","acc",0.824324324324324,"blood_transfusion"
10,"GBM","brier_score",0.142779156572907,"blood_transfusion"
