"fold","method","metric","val","dataset"
1,"Lasso","auc",0.6996,"blood_transfusion"
1,"Lasso","acc",0.693333333333333,"blood_transfusion"
1,"Lasso","brier_score",0.199329810313862,"blood_transfusion"
2,"Lasso","auc",0.741228070175439,"blood_transfusion"
2,"Lasso","acc",0.76,"blood_transfusion"
2,"Lasso","brier_score",0.161485292417648,"blood_transfusion"
3,"Lasso","auc",0.749379652605459,"blood_transfusion"
3,"Lasso","acc",0.813333333333333,"blood_transfusion"
3,"Lasso","brier_score",0.135137601758605,"blood_transfusion"
4,"Lasso","auc",0.737745098039216,"blood_transfusion"
4,"Lasso","acc",0.68,"blood_transfusion"
4,"Lasso","brier_score",0.192725591838524,"blood_transfusion"
5,"Lasso","auc",0.874470338983051,"blood_transfusion"
5,"Lasso","acc",0.813333333333333,"blood_transfusion"
5,"Lasso","brier_score",0.138756012163461,"blood_transfusion"
6,"Lasso","auc",0.712475633528265,"blood_transfusion"
6,"Lasso","acc",0.76,"blood_transfusion"
6,"Lasso","brier_score",0.168525348734778,"blood_transfusion"
7,"Lasso","auc",0.650555555555556,"blood_transfusion"
7,"Lasso","acc",0.813333333333333,"blood_transfusion"
7,"Lasso","brier_score",0.155429621474838,"blood_transfusion"
8,"Lasso","auc",0.80458089668616,"blood_transfusion"
8,"Lasso","acc",0.773333333333333,"blood_transfusion"
8,"Lasso","brier_score",0.153436537479181,"blood_transfusion"
9,"Lasso","auc",0.76015625,"blood_transfusion"
9,"Lasso","acc",0.851351351351351,"blood_transfusion"
9,"Lasso","brier_score",0.124894177214066,"blood_transfusion"
10,"Lasso","auc",0.786163522012579,"blood_transfusion"
10,"Lasso","acc",0.756756756756757,"blood_transfusion"
10,"Lasso","brier_score",0.162464723151201,"blood_transfusion"
