"fold","method","metric","val","dataset"
1,"Ridge","auc",0.6988,"blood_transfusion"
1,"Ridge","acc",0.693333333333333,"blood_transfusion"
1,"Ridge","brier_score",0.199297900439398,"blood_transfusion"
2,"Ridge","auc",0.741228070175439,"blood_transfusion"
2,"Ridge","acc",0.76,"blood_transfusion"
2,"Ridge","brier_score",0.161140280349266,"blood_transfusion"
3,"Ridge","auc",0.746898263027295,"blood_transfusion"
3,"Ridge","acc",0.826666666666667,"blood_transfusion"
3,"Ridge","brier_score",0.134806966536957,"blood_transfusion"
4,"Ridge","auc",0.741830065359477,"blood_transfusion"
4,"Ridge","acc",0.68,"blood_transfusion"
4,"Ridge","brier_score",0.193423409946918,"blood_transfusion"
5,"Ridge","auc",0.869173728813559,"blood_transfusion"
5,"Ridge","acc",0.813333333333333,"blood_transfusion"
5,"Ridge","brier_score",0.139334969872648,"blood_transfusion"
6,"Ridge","auc",0.715399610136452,"blood_transfusion"
6,"Ridge","acc",0.76,"blood_transfusion"
6,"Ridge","brier_score",0.168421361963354,"blood_transfusion"
7,"Ridge","auc",0.645,"blood_transfusion"
7,"Ridge","acc",0.813333333333333,"blood_transfusion"
7,"Ridge","brier_score",0.155261759582819,"blood_transfusion"
8,"Ridge","auc",0.80458089668616,"blood_transfusion"
8,"Ridge","acc",0.773333333333333,"blood_transfusion"
8,"Ridge","brier_score",0.153516383834235,"blood_transfusion"
9,"Ridge","auc",0.75859375,"blood_transfusion"
9,"Ridge","acc",0.851351351351351,"blood_transfusion"
9,"Ridge","brier_score",0.124658658942281,"blood_transfusion"
10,"Ridge","auc",0.787061994609164,"blood_transfusion"
10,"Ridge","acc",0.756756756756757,"blood_transfusion"
10,"Ridge","brier_score",0.163084099367559,"blood_transfusion"
