"fold","method","metric","val","dataset"
1,"glm","auc",0.7292,"blood_transfusion"
1,"glm","acc",0.706666666666667,"blood_transfusion"
1,"glm","brier_score",0.194573914783647,"blood_transfusion"
2,"glm","auc",0.739278752436647,"blood_transfusion"
2,"glm","acc",0.76,"blood_transfusion"
2,"glm","brier_score",0.155342669853081,"blood_transfusion"
3,"glm","auc",0.741935483870968,"blood_transfusion"
3,"glm","acc",0.8,"blood_transfusion"
3,"glm","brier_score",0.134907848748259,"blood_transfusion"
4,"glm","auc",0.722222222222222,"blood_transfusion"
4,"glm","acc",0.706666666666667,"blood_transfusion"
4,"glm","brier_score",0.192160516260569,"blood_transfusion"
5,"glm","auc",0.872351694915254,"blood_transfusion"
5,"glm","acc",0.786666666666667,"blood_transfusion"
5,"glm","brier_score",0.126850755404096,"blood_transfusion"
6,"glm","auc",0.696881091617934,"blood_transfusion"
6,"glm","acc",0.773333333333333,"blood_transfusion"
6,"glm","brier_score",0.162614902818021,"blood_transfusion"
7,"glm","auc",0.643888888888889,"blood_transfusion"
7,"glm","acc",0.773333333333333,"blood_transfusion"
7,"glm","brier_score",0.160922171715069,"blood_transfusion"
8,"glm","auc",0.8182261208577,"blood_transfusion"
8,"glm","acc",0.773333333333333,"blood_transfusion"
8,"glm","brier_score",0.140845454004793,"blood_transfusion"
9,"glm","auc",0.76328125,"blood_transfusion"
9,"glm","acc",0.864864864864865,"blood_transfusion"
9,"glm","brier_score",0.122031798259707,"blood_transfusion"
10,"glm","auc",0.788858939802336,"blood_transfusion"
10,"glm","acc",0.756756756756757,"blood_transfusion"
10,"glm","brier_score",0.155727389412103,"blood_transfusion"
