"fold","method","metric","val","dataset"
1,"rf","auc",0.66,"blood_transfusion"
1,"rf","acc",0.72,"blood_transfusion"
1,"rf","brier_score",0.229358826666667,"blood_transfusion"
2,"rf","auc",0.704191033138402,"blood_transfusion"
2,"rf","acc",0.773333333333333,"blood_transfusion"
2,"rf","brier_score",0.17689904,"blood_transfusion"
3,"rf","auc",0.60545905707196,"blood_transfusion"
3,"rf","acc",0.733333333333333,"blood_transfusion"
3,"rf","brier_score",0.19680256,"blood_transfusion"
4,"rf","auc",0.661764705882353,"blood_transfusion"
4,"rf","acc",0.72,"blood_transfusion"
4,"rf","brier_score",0.212037013333333,"blood_transfusion"
5,"rf","auc",0.707627118644068,"blood_transfusion"
5,"rf","acc",0.786666666666667,"blood_transfusion"
5,"rf","brier_score",0.16031024,"blood_transfusion"
6,"rf","auc",0.712475633528265,"blood_transfusion"
6,"rf","acc",0.773333333333333,"blood_transfusion"
6,"rf","brier_score",0.163252693333333,"blood_transfusion"
7,"rf","auc",0.577222222222222,"blood_transfusion"
7,"rf","acc",0.733333333333333,"blood_transfusion"
7,"rf","brier_score",0.206476,"blood_transfusion"
8,"rf","auc",0.782651072124756,"blood_transfusion"
8,"rf","acc",0.813333333333333,"blood_transfusion"
8,"rf","brier_score",0.141947733333333,"blood_transfusion"
9,"rf","auc",0.55,"blood_transfusion"
9,"rf","acc",0.824324324324324,"blood_transfusion"
9,"rf","brier_score",0.153604,"blood_transfusion"
10,"rf","auc",0.743486073674753,"blood_transfusion"
10,"rf","acc",0.72972972972973,"blood_transfusion"
10,"rf","brier_score",0.184332540540541,"blood_transfusion"
