"fold","method","metric","val","dataset"
1,"Boosted Stumps","auc",0.828461538461538,"diabetes"
1,"Boosted Stumps","acc",0.753246753246753,"diabetes"
1,"Boosted Stumps","brier_score",0.161095922481191,"diabetes"
2,"Boosted Stumps","auc",0.85969387755102,"diabetes"
2,"Boosted Stumps","acc",0.792207792207792,"diabetes"
2,"Boosted Stumps","brier_score",0.134527132546514,"diabetes"
3,"Boosted Stumps","auc",0.841194968553459,"diabetes"
3,"Boosted Stumps","acc",0.766233766233766,"diabetes"
3,"Boosted Stumps","brier_score",0.153394959630664,"diabetes"
4,"Boosted Stumps","auc",0.869357045143639,"diabetes"
4,"Boosted Stumps","acc",0.766233766233766,"diabetes"
4,"Boosted Stumps","brier_score",0.165910378530501,"diabetes"
5,"Boosted Stumps","auc",0.872916666666667,"diabetes"
5,"Boosted Stumps","acc",0.753246753246753,"diabetes"
5,"Boosted Stumps","brier_score",0.151012797708145,"diabetes"
6,"Boosted Stumps","auc",0.872549019607843,"diabetes"
6,"Boosted Stumps","acc",0.792207792207792,"diabetes"
6,"Boosted Stumps","brier_score",0.139830523228666,"diabetes"
7,"Boosted Stumps","auc",0.821428571428571,"diabetes"
7,"Boosted Stumps","acc",0.753246753246753,"diabetes"
7,"Boosted Stumps","brier_score",0.161362918174341,"diabetes"
8,"Boosted Stumps","auc",0.871069182389937,"diabetes"
8,"Boosted Stumps","acc",0.766233766233766,"diabetes"
8,"Boosted Stumps","brier_score",0.138821789710725,"diabetes"
9,"Boosted Stumps","auc",0.698412698412698,"diabetes"
9,"Boosted Stumps","acc",0.631578947368421,"diabetes"
9,"Boosted Stumps","brier_score",0.237633845643951,"diabetes"
10,"Boosted Stumps","auc",0.764928193499622,"diabetes"
10,"Boosted Stumps","acc",0.736842105263158,"diabetes"
10,"Boosted Stumps","brier_score",0.185334122269755,"diabetes"
