"fold","method","metric","val","dataset"
1,"CART","auc",0.679615384615385,"diabetes"
1,"CART","acc",0.727272727272727,"diabetes"
1,"CART","brier_score",0.217633658244997,"diabetes"
2,"CART","auc",0.818877551020408,"diabetes"
2,"CART","acc",0.766233766233766,"diabetes"
2,"CART","brier_score",0.165718487614643,"diabetes"
3,"CART","auc",0.727987421383648,"diabetes"
3,"CART","acc",0.701298701298701,"diabetes"
3,"CART","brier_score",0.209196226624022,"diabetes"
4,"CART","auc",0.791381668946648,"diabetes"
4,"CART","acc",0.766233766233766,"diabetes"
4,"CART","brier_score",0.183267153216924,"diabetes"
5,"CART","auc",0.791319444444444,"diabetes"
5,"CART","acc",0.701298701298701,"diabetes"
5,"CART","brier_score",0.203503716780663,"diabetes"
6,"CART","auc",0.799396681749623,"diabetes"
6,"CART","acc",0.753246753246753,"diabetes"
6,"CART","brier_score",0.170797154469661,"diabetes"
7,"CART","auc",0.7817055393586,"diabetes"
7,"CART","acc",0.766233766233766,"diabetes"
7,"CART","brier_score",0.178898530277382,"diabetes"
8,"CART","auc",0.902122641509434,"diabetes"
8,"CART","acc",0.818181818181818,"diabetes"
8,"CART","brier_score",0.128775957027192,"diabetes"
9,"CART","auc",0.582766439909297,"diabetes"
9,"CART","acc",0.631578947368421,"diabetes"
9,"CART","brier_score",0.291485117821664,"diabetes"
10,"CART","auc",0.755102040816326,"diabetes"
10,"CART","acc",0.710526315789474,"diabetes"
10,"CART","brier_score",0.202756064352713,"diabetes"
