"fold","method","metric","val","dataset"
1,"ElasticNet","auc",0.787692307692308,"diabetes"
1,"ElasticNet","acc",0.74025974025974,"diabetes"
1,"ElasticNet","brier_score",0.176081587348608,"diabetes"
2,"ElasticNet","auc",0.840136054421769,"diabetes"
2,"ElasticNet","acc",0.792207792207792,"diabetes"
2,"ElasticNet","brier_score",0.14677500222968,"diabetes"
3,"ElasticNet","auc",0.819182389937107,"diabetes"
3,"ElasticNet","acc",0.792207792207792,"diabetes"
3,"ElasticNet","brier_score",0.170219857957502,"diabetes"
4,"ElasticNet","auc",0.847469220246238,"diabetes"
4,"ElasticNet","acc",0.688311688311688,"diabetes"
4,"ElasticNet","brier_score",0.178200975117028,"diabetes"
5,"ElasticNet","auc",0.873611111111111,"diabetes"
5,"ElasticNet","acc",0.753246753246753,"diabetes"
5,"ElasticNet","brier_score",0.155205340283639,"diabetes"
6,"ElasticNet","auc",0.890648567119155,"diabetes"
6,"ElasticNet","acc",0.831168831168831,"diabetes"
6,"ElasticNet","brier_score",0.133271174227483,"diabetes"
7,"ElasticNet","auc",0.868075801749271,"diabetes"
7,"ElasticNet","acc",0.805194805194805,"diabetes"
7,"ElasticNet","brier_score",0.147821610273745,"diabetes"
8,"ElasticNet","auc",0.890723270440252,"diabetes"
8,"ElasticNet","acc",0.805194805194805,"diabetes"
8,"ElasticNet","brier_score",0.132195148670723,"diabetes"
9,"ElasticNet","auc",0.708994708994709,"diabetes"
9,"ElasticNet","acc",0.671052631578947,"diabetes"
9,"ElasticNet","brier_score",0.210396570586485,"diabetes"
10,"ElasticNet","auc",0.799697656840514,"diabetes"
10,"ElasticNet","acc",0.815789473684211,"diabetes"
10,"ElasticNet","brier_score",0.182769934260557,"diabetes"
