"fold","method","metric","val","dataset"
1,"GBM","auc",0.836923076923077,"diabetes"
1,"GBM","acc",0.753246753246753,"diabetes"
1,"GBM","brier_score",0.15844568077736,"diabetes"
2,"GBM","auc",0.847789115646258,"diabetes"
2,"GBM","acc",0.766233766233766,"diabetes"
2,"GBM","brier_score",0.141686474637417,"diabetes"
3,"GBM","auc",0.841194968553459,"diabetes"
3,"GBM","acc",0.779220779220779,"diabetes"
3,"GBM","brier_score",0.153488357699293,"diabetes"
4,"GBM","auc",0.874145006839945,"diabetes"
4,"GBM","acc",0.779220779220779,"diabetes"
4,"GBM","brier_score",0.163184453272024,"diabetes"
5,"GBM","auc",0.895833333333333,"diabetes"
5,"GBM","acc",0.766233766233766,"diabetes"
5,"GBM","brier_score",0.1441223169166,"diabetes"
6,"GBM","auc",0.882352941176471,"diabetes"
6,"GBM","acc",0.792207792207792,"diabetes"
6,"GBM","brier_score",0.136932699743533,"diabetes"
7,"GBM","auc",0.82798833819242,"diabetes"
7,"GBM","acc",0.792207792207792,"diabetes"
7,"GBM","brier_score",0.154996133810068,"diabetes"
8,"GBM","auc",0.889937106918239,"diabetes"
8,"GBM","acc",0.831168831168831,"diabetes"
8,"GBM","brier_score",0.12638400234173,"diabetes"
9,"GBM","auc",0.696145124716553,"diabetes"
9,"GBM","acc",0.618421052631579,"diabetes"
9,"GBM","brier_score",0.226693792881053,"diabetes"
10,"GBM","auc",0.784580498866213,"diabetes"
10,"GBM","acc",0.75,"diabetes"
10,"GBM","brier_score",0.175566624115271,"diabetes"
