"fold","method","metric","val","dataset"
1,"Lasso","auc",0.786153846153846,"diabetes"
1,"Lasso","acc",0.74025974025974,"diabetes"
1,"Lasso","brier_score",0.175602715321139,"diabetes"
2,"Lasso","auc",0.841836734693878,"diabetes"
2,"Lasso","acc",0.805194805194805,"diabetes"
2,"Lasso","brier_score",0.146707395437652,"diabetes"
3,"Lasso","auc",0.819968553459119,"diabetes"
3,"Lasso","acc",0.792207792207792,"diabetes"
3,"Lasso","brier_score",0.169845084533787,"diabetes"
4,"Lasso","auc",0.845417236662107,"diabetes"
4,"Lasso","acc",0.688311688311688,"diabetes"
4,"Lasso","brier_score",0.179444756911547,"diabetes"
5,"Lasso","auc",0.874305555555556,"diabetes"
5,"Lasso","acc",0.753246753246753,"diabetes"
5,"Lasso","brier_score",0.154823985231035,"diabetes"
6,"Lasso","auc",0.889894419306184,"diabetes"
6,"Lasso","acc",0.831168831168831,"diabetes"
6,"Lasso","brier_score",0.13336811800758,"diabetes"
7,"Lasso","auc",0.868804664723032,"diabetes"
7,"Lasso","acc",0.818181818181818,"diabetes"
7,"Lasso","brier_score",0.147841814497734,"diabetes"
8,"Lasso","auc",0.895440251572327,"diabetes"
8,"Lasso","acc",0.805194805194805,"diabetes"
8,"Lasso","brier_score",0.13231249723973,"diabetes"
9,"Lasso","auc",0.710506424792139,"diabetes"
9,"Lasso","acc",0.671052631578947,"diabetes"
9,"Lasso","brier_score",0.209529394628325,"diabetes"
10,"Lasso","auc",0.798941798941799,"diabetes"
10,"Lasso","acc",0.802631578947368,"diabetes"
10,"Lasso","brier_score",0.183402600712856,"diabetes"
