"fold","method","metric","val","dataset"
1,"Ridge","auc",0.782307692307692,"diabetes"
1,"Ridge","acc",0.74025974025974,"diabetes"
1,"Ridge","brier_score",0.176590920739154,"diabetes"
2,"Ridge","auc",0.840986394557823,"diabetes"
2,"Ridge","acc",0.805194805194805,"diabetes"
2,"Ridge","brier_score",0.147096285804544,"diabetes"
3,"Ridge","auc",0.819182389937107,"diabetes"
3,"Ridge","acc",0.792207792207792,"diabetes"
3,"Ridge","brier_score",0.169994457439181,"diabetes"
4,"Ridge","auc",0.851573187414501,"diabetes"
4,"Ridge","acc",0.688311688311688,"diabetes"
4,"Ridge","brier_score",0.174443738347039,"diabetes"
5,"Ridge","auc",0.873611111111111,"diabetes"
5,"Ridge","acc",0.753246753246753,"diabetes"
5,"Ridge","brier_score",0.155675695934702,"diabetes"
6,"Ridge","auc",0.892156862745098,"diabetes"
6,"Ridge","acc",0.831168831168831,"diabetes"
6,"Ridge","brier_score",0.133645624007756,"diabetes"
7,"Ridge","auc",0.863702623906705,"diabetes"
7,"Ridge","acc",0.805194805194805,"diabetes"
7,"Ridge","brier_score",0.149202213040111,"diabetes"
8,"Ridge","auc",0.886792452830189,"diabetes"
8,"Ridge","acc",0.805194805194805,"diabetes"
8,"Ridge","brier_score",0.13263486722501,"diabetes"
9,"Ridge","auc",0.706727135298564,"diabetes"
9,"Ridge","acc",0.697368421052632,"diabetes"
9,"Ridge","brier_score",0.210080464201428,"diabetes"
10,"Ridge","auc",0.804232804232804,"diabetes"
10,"Ridge","acc",0.802631578947368,"diabetes"
10,"Ridge","brier_score",0.180246210782103,"diabetes"
