"fold","method","metric","val","dataset"
1,"glm","auc",0.779230769230769,"diabetes"
1,"glm","acc",0.74025974025974,"diabetes"
1,"glm","brier_score",0.176916432876179,"diabetes"
2,"glm","auc",0.840136054421769,"diabetes"
2,"glm","acc",0.792207792207792,"diabetes"
2,"glm","brier_score",0.143654755042878,"diabetes"
3,"glm","auc",0.812893081761006,"diabetes"
3,"glm","acc",0.792207792207792,"diabetes"
3,"glm","brier_score",0.153686468830465,"diabetes"
4,"glm","auc",0.85499316005472,"diabetes"
4,"glm","acc",0.701298701298701,"diabetes"
4,"glm","brier_score",0.176645046139124,"diabetes"
5,"glm","auc",0.874305555555556,"diabetes"
5,"glm","acc",0.779220779220779,"diabetes"
5,"glm","brier_score",0.148940901721683,"diabetes"
6,"glm","auc",0.892911010558069,"diabetes"
6,"glm","acc",0.831168831168831,"diabetes"
6,"glm","brier_score",0.127677038438069,"diabetes"
7,"glm","auc",0.857871720116618,"diabetes"
7,"glm","acc",0.818181818181818,"diabetes"
7,"glm","brier_score",0.142232996982594,"diabetes"
8,"glm","auc",0.882075471698113,"diabetes"
8,"glm","acc",0.805194805194805,"diabetes"
8,"glm","brier_score",0.12985019515143,"diabetes"
9,"glm","auc",0.712018140589569,"diabetes"
9,"glm","acc",0.657894736842105,"diabetes"
9,"glm","brier_score",0.224395615160373,"diabetes"
10,"glm","auc",0.804232804232804,"diabetes"
10,"glm","acc",0.815789473684211,"diabetes"
10,"glm","brier_score",0.154301864263915,"diabetes"
