"fold","method","metric","val","dataset"
1,"rf","auc",0.795769230769231,"diabetes"
1,"rf","acc",0.766233766233766,"diabetes"
1,"rf","brier_score",0.169668103896104,"diabetes"
2,"rf","auc",0.835884353741497,"diabetes"
2,"rf","acc",0.805194805194805,"diabetes"
2,"rf","brier_score",0.146046337662338,"diabetes"
3,"rf","auc",0.831761006289308,"diabetes"
3,"rf","acc",0.779220779220779,"diabetes"
3,"rf","brier_score",0.154773558441558,"diabetes"
4,"rf","auc",0.8406292749658,"diabetes"
4,"rf","acc",0.727272727272727,"diabetes"
4,"rf","brier_score",0.179377090909091,"diabetes"
5,"rf","auc",0.858680555555556,"diabetes"
5,"rf","acc",0.753246753246753,"diabetes"
5,"rf","brier_score",0.159084467532468,"diabetes"
6,"rf","auc",0.881221719457014,"diabetes"
6,"rf","acc",0.805194805194805,"diabetes"
6,"rf","brier_score",0.13483225974026,"diabetes"
7,"rf","auc",0.83600583090379,"diabetes"
7,"rf","acc",0.805194805194805,"diabetes"
7,"rf","brier_score",0.157652,"diabetes"
8,"rf","auc",0.902908805031447,"diabetes"
8,"rf","acc",0.805194805194805,"diabetes"
8,"rf","brier_score",0.120971896103896,"diabetes"
9,"rf","auc",0.690098261526833,"diabetes"
9,"rf","acc",0.657894736842105,"diabetes"
9,"rf","brier_score",0.214449947368421,"diabetes"
10,"rf","auc",0.787981859410431,"diabetes"
10,"rf","acc",0.776315789473684,"diabetes"
10,"rf","brier_score",0.174705684210526,"diabetes"
