"fold","method","metric","val","dataset"
1,"Boosted Stumps","auc",0.733695652173913,"haberman"
1,"Boosted Stumps","acc",0.709677419354839,"haberman"
1,"Boosted Stumps","brier_score",0.176984555937173,"haberman"
2,"Boosted Stumps","auc",0.761904761904762,"haberman"
2,"Boosted Stumps","acc",0.806451612903226,"haberman"
2,"Boosted Stumps","brier_score",0.14802611516746,"haberman"
3,"Boosted Stumps","auc",0.713333333333333,"haberman"
3,"Boosted Stumps","acc",0.709677419354839,"haberman"
3,"Boosted Stumps","brier_score",0.185132006252414,"haberman"
4,"Boosted Stumps","auc",0.66304347826087,"haberman"
4,"Boosted Stumps","acc",0.774193548387097,"haberman"
4,"Boosted Stumps","brier_score",0.177251140896094,"haberman"
5,"Boosted Stumps","auc",0.799145299145299,"haberman"
5,"Boosted Stumps","acc",0.67741935483871,"haberman"
5,"Boosted Stumps","brier_score",0.217695522221585,"haberman"
6,"Boosted Stumps","auc",0.445652173913043,"haberman"
6,"Boosted Stumps","acc",0.709677419354839,"haberman"
6,"Boosted Stumps","brier_score",0.208383864951951,"haberman"
7,"Boosted Stumps","auc",0.544973544973545,"haberman"
7,"Boosted Stumps","acc",0.7,"haberman"
7,"Boosted Stumps","brier_score",0.21596919114777,"haberman"
8,"Boosted Stumps","auc",0.763975155279503,"haberman"
8,"Boosted Stumps","acc",0.866666666666667,"haberman"
8,"Boosted Stumps","brier_score",0.142853159515357,"haberman"
9,"Boosted Stumps","auc",0.625,"haberman"
9,"Boosted Stumps","acc",0.666666666666667,"haberman"
9,"Boosted Stumps","brier_score",0.243656430782223,"haberman"
10,"Boosted Stumps","auc",0.52,"haberman"
10,"Boosted Stumps","acc",0.733333333333333,"haberman"
10,"Boosted Stumps","brier_score",0.189466486640606,"haberman"
