"fold","method","metric","val","dataset"
1,"ElasticNet","auc",0.777173913043478,"haberman"
1,"ElasticNet","acc",0.741935483870968,"haberman"
1,"ElasticNet","brier_score",0.172187232891817,"haberman"
2,"ElasticNet","auc",0.785714285714286,"haberman"
2,"ElasticNet","acc",0.806451612903226,"haberman"
2,"ElasticNet","brier_score",0.163829092385535,"haberman"
3,"ElasticNet","auc",0.72,"haberman"
3,"ElasticNet","acc",0.774193548387097,"haberman"
3,"ElasticNet","brier_score",0.153028137156549,"haberman"
4,"ElasticNet","auc",0.777173913043478,"haberman"
4,"ElasticNet","acc",0.67741935483871,"haberman"
4,"ElasticNet","brier_score",0.192552083933466,"haberman"
5,"ElasticNet","auc",0.773504273504274,"haberman"
5,"ElasticNet","acc",0.645161290322581,"haberman"
5,"ElasticNet","brier_score",0.223304192223382,"haberman"
6,"ElasticNet","auc",0.698369565217391,"haberman"
6,"ElasticNet","acc",0.741935483870968,"haberman"
6,"ElasticNet","brier_score",0.173744680701088,"haberman"
7,"ElasticNet","auc",0.566137566137566,"haberman"
7,"ElasticNet","acc",0.733333333333333,"haberman"
7,"ElasticNet","brier_score",0.213266872122819,"haberman"
8,"ElasticNet","auc",0.74223602484472,"haberman"
8,"ElasticNet","acc",0.833333333333333,"haberman"
8,"ElasticNet","brier_score",0.147951794081383,"haberman"
9,"ElasticNet","auc",0.7075,"haberman"
9,"ElasticNet","acc",0.666666666666667,"haberman"
9,"ElasticNet","brier_score",0.218126398601161,"haberman"
10,"ElasticNet","auc",0.62,"haberman"
10,"ElasticNet","acc",0.733333333333333,"haberman"
10,"ElasticNet","brier_score",0.182965635479911,"haberman"
