"fold","method","metric","val","dataset"
1,"Lasso","auc",0.771739130434783,"haberman"
1,"Lasso","acc",0.741935483870968,"haberman"
1,"Lasso","brier_score",0.170961491124611,"haberman"
2,"Lasso","auc",0.791666666666667,"haberman"
2,"Lasso","acc",0.806451612903226,"haberman"
2,"Lasso","brier_score",0.162560001571293,"haberman"
3,"Lasso","auc",0.72,"haberman"
3,"Lasso","acc",0.774193548387097,"haberman"
3,"Lasso","brier_score",0.152918994004347,"haberman"
4,"Lasso","auc",0.777173913043478,"haberman"
4,"Lasso","acc",0.67741935483871,"haberman"
4,"Lasso","brier_score",0.18969471535902,"haberman"
5,"Lasso","auc",0.773504273504274,"haberman"
5,"Lasso","acc",0.612903225806452,"haberman"
5,"Lasso","brier_score",0.223833078195121,"haberman"
6,"Lasso","auc",0.801630434782609,"haberman"
6,"Lasso","acc",0.774193548387097,"haberman"
6,"Lasso","brier_score",0.167451780853525,"haberman"
7,"Lasso","auc",0.566137566137566,"haberman"
7,"Lasso","acc",0.733333333333333,"haberman"
7,"Lasso","brier_score",0.214551829654881,"haberman"
8,"Lasso","auc",0.754658385093168,"haberman"
8,"Lasso","acc",0.833333333333333,"haberman"
8,"Lasso","brier_score",0.148537133269518,"haberman"
9,"Lasso","auc",0.7025,"haberman"
9,"Lasso","acc",0.666666666666667,"haberman"
9,"Lasso","brier_score",0.218261470522583,"haberman"
10,"Lasso","auc",0.62,"haberman"
10,"Lasso","acc",0.733333333333333,"haberman"
10,"Lasso","brier_score",0.184097667655355,"haberman"
