"fold","method","metric","val","dataset"
1,"rf","auc",0.777173913043478,"haberman"
1,"rf","acc",0.741935483870968,"haberman"
1,"rf","brier_score",0.170374451612903,"haberman"
2,"rf","auc",0.630952380952381,"haberman"
2,"rf","acc",0.741935483870968,"haberman"
2,"rf","brier_score",0.179581935483871,"haberman"
3,"rf","auc",0.713333333333333,"haberman"
3,"rf","acc",0.741935483870968,"haberman"
3,"rf","brier_score",0.159520774193548,"haberman"
4,"rf","auc",0.782608695652174,"haberman"
4,"rf","acc",0.741935483870968,"haberman"
4,"rf","brier_score",0.170961290322581,"haberman"
5,"rf","auc",0.752136752136752,"haberman"
5,"rf","acc",0.645161290322581,"haberman"
5,"rf","brier_score",0.235836903225806,"haberman"
6,"rf","auc",0.453804347826087,"haberman"
6,"rf","acc",0.741935483870968,"haberman"
6,"rf","brier_score",0.212984,"haberman"
7,"rf","auc",0.613756613756614,"haberman"
7,"rf","acc",0.7,"haberman"
7,"rf","brier_score",0.236337066666667,"haberman"
8,"rf","auc",0.701863354037267,"haberman"
8,"rf","acc",0.733333333333333,"haberman"
8,"rf","brier_score",0.173458266666667,"haberman"
9,"rf","auc",0.72,"haberman"
9,"rf","acc",0.7,"haberman"
9,"rf","brier_score",0.235440266666667,"haberman"
10,"rf","auc",0.584,"haberman"
10,"rf","acc",0.766666666666667,"haberman"
10,"rf","brier_score",0.166706533333333,"haberman"
