"fold","method","metric","val","dataset"
1,"Boosted Stumps","auc",0.840336134453782,"heart"
1,"Boosted Stumps","acc",0.774193548387097,"heart"
1,"Boosted Stumps","brier_score",0.165045124925613,"heart"
2,"Boosted Stumps","auc",0.936363636363636,"heart"
2,"Boosted Stumps","acc",0.870967741935484,"heart"
2,"Boosted Stumps","brier_score",0.127915262197965,"heart"
3,"Boosted Stumps","auc",0.945454545454545,"heart"
3,"Boosted Stumps","acc",0.806451612903226,"heart"
3,"Boosted Stumps","brier_score",0.118348064448779,"heart"
4,"Boosted Stumps","auc",0.799107142857143,"heart"
4,"Boosted Stumps","acc",0.633333333333333,"heart"
4,"Boosted Stumps","brier_score",0.207902688647417,"heart"
5,"Boosted Stumps","auc",0.924107142857143,"heart"
5,"Boosted Stumps","acc",0.8,"heart"
5,"Boosted Stumps","brier_score",0.126609039693474,"heart"
6,"Boosted Stumps","auc",0.918552036199095,"heart"
6,"Boosted Stumps","acc",0.833333333333333,"heart"
6,"Boosted Stumps","brier_score",0.125404470484927,"heart"
7,"Boosted Stumps","auc",0.941176470588235,"heart"
7,"Boosted Stumps","acc",0.8,"heart"
7,"Boosted Stumps","brier_score",0.101482051950733,"heart"
8,"Boosted Stumps","auc",0.875,"heart"
8,"Boosted Stumps","acc",0.833333333333333,"heart"
8,"Boosted Stumps","brier_score",0.132747236754687,"heart"
9,"Boosted Stumps","auc",0.927601809954751,"heart"
9,"Boosted Stumps","acc",0.8,"heart"
9,"Boosted Stumps","brier_score",0.135264229721342,"heart"
10,"Boosted Stumps","auc",0.955,"heart"
10,"Boosted Stumps","acc",0.9,"heart"
10,"Boosted Stumps","brier_score",0.0959096285817181,"heart"
