"fold","method","metric","val","dataset"
1,"CART","auc",0.838235294117647,"heart"
1,"CART","acc",0.806451612903226,"heart"
1,"CART","brier_score",0.157285517795191,"heart"
2,"CART","auc",0.861363636363636,"heart"
2,"CART","acc",0.806451612903226,"heart"
2,"CART","brier_score",0.155380851940572,"heart"
3,"CART","auc",0.761363636363636,"heart"
3,"CART","acc",0.709677419354839,"heart"
3,"CART","brier_score",0.20641472138866,"heart"
4,"CART","auc",0.776785714285714,"heart"
4,"CART","acc",0.766666666666667,"heart"
4,"CART","brier_score",0.18543277412024,"heart"
5,"CART","auc",0.734375,"heart"
5,"CART","acc",0.7,"heart"
5,"CART","brier_score",0.234731183813511,"heart"
6,"CART","auc",0.85972850678733,"heart"
6,"CART","acc",0.766666666666667,"heart"
6,"CART","brier_score",0.176207451517875,"heart"
7,"CART","auc",0.934389140271493,"heart"
7,"CART","acc",0.833333333333333,"heart"
7,"CART","brier_score",0.0964406041281213,"heart"
8,"CART","auc",0.810185185185185,"heart"
8,"CART","acc",0.866666666666667,"heart"
8,"CART","brier_score",0.127318926925886,"heart"
9,"CART","auc",0.821266968325792,"heart"
9,"CART","acc",0.8,"heart"
9,"CART","brier_score",0.167173701959209,"heart"
10,"CART","auc",0.8275,"heart"
10,"CART","acc",0.8,"heart"
10,"CART","brier_score",0.168983131123413,"heart"
