"fold","method","metric","val","dataset"
1,"ElasticNet","auc",0.819327731092437,"heart"
1,"ElasticNet","acc",0.741935483870968,"heart"
1,"ElasticNet","brier_score",0.17696915407861,"heart"
2,"ElasticNet","auc",0.877272727272727,"heart"
2,"ElasticNet","acc",0.806451612903226,"heart"
2,"ElasticNet","brier_score",0.15642371391937,"heart"
3,"ElasticNet","auc",0.954545454545455,"heart"
3,"ElasticNet","acc",0.870967741935484,"heart"
3,"ElasticNet","brier_score",0.127397143595877,"heart"
4,"ElasticNet","auc",0.866071428571429,"heart"
4,"ElasticNet","acc",0.766666666666667,"heart"
4,"ElasticNet","brier_score",0.160077724863635,"heart"
5,"ElasticNet","auc",0.919642857142857,"heart"
5,"ElasticNet","acc",0.766666666666667,"heart"
5,"ElasticNet","brier_score",0.146090008520564,"heart"
6,"ElasticNet","auc",0.927601809954751,"heart"
6,"ElasticNet","acc",0.833333333333333,"heart"
6,"ElasticNet","brier_score",0.122016473064074,"heart"
7,"ElasticNet","auc",0.945701357466063,"heart"
7,"ElasticNet","acc",0.933333333333333,"heart"
7,"ElasticNet","brier_score",0.0789577963919238,"heart"
8,"ElasticNet","auc",0.916666666666667,"heart"
8,"ElasticNet","acc",0.9,"heart"
8,"ElasticNet","brier_score",0.108070296691848,"heart"
9,"ElasticNet","auc",0.895927601809955,"heart"
9,"ElasticNet","acc",0.866666666666667,"heart"
9,"ElasticNet","brier_score",0.132727657424704,"heart"
10,"ElasticNet","auc",0.915,"heart"
10,"ElasticNet","acc",0.833333333333333,"heart"
10,"ElasticNet","brier_score",0.112530686207332,"heart"
