"fold","method","metric","val","dataset"
1,"GBM","auc",0.861344537815126,"heart"
1,"GBM","acc",0.838709677419355,"heart"
1,"GBM","brier_score",0.154116300037048,"heart"
2,"GBM","auc",0.918181818181818,"heart"
2,"GBM","acc",0.870967741935484,"heart"
2,"GBM","brier_score",0.122712363553531,"heart"
3,"GBM","auc",0.931818181818182,"heart"
3,"GBM","acc",0.806451612903226,"heart"
3,"GBM","brier_score",0.127312347860241,"heart"
4,"GBM","auc",0.825892857142857,"heart"
4,"GBM","acc",0.766666666666667,"heart"
4,"GBM","brier_score",0.182350503800481,"heart"
5,"GBM","auc",0.892857142857143,"heart"
5,"GBM","acc",0.733333333333333,"heart"
5,"GBM","brier_score",0.14994341787626,"heart"
6,"GBM","auc",0.909502262443439,"heart"
6,"GBM","acc",0.8,"heart"
6,"GBM","brier_score",0.129840550242217,"heart"
7,"GBM","auc",0.954751131221719,"heart"
7,"GBM","acc",0.833333333333333,"heart"
7,"GBM","brier_score",0.0931896384820188,"heart"
8,"GBM","auc",0.884259259259259,"heart"
8,"GBM","acc",0.8,"heart"
8,"GBM","brier_score",0.127306733537076,"heart"
9,"GBM","auc",0.909502262443439,"heart"
9,"GBM","acc",0.8,"heart"
9,"GBM","brier_score",0.142060768878696,"heart"
10,"GBM","auc",0.935,"heart"
10,"GBM","acc",0.866666666666667,"heart"
10,"GBM","brier_score",0.098752481283766,"heart"
